"","Account","Date","Peakhour","Hour","kWh","month","day","year","Day of Week","Weekday"
"1",26435791004,2014-01-01,0,0,81.285,1,1,2014,3,1
"4381",26435791004,2014-01-01,0,1,81.705,1,1,2014,3,1
"8761",26435791004,2014-01-01,0,2,81.51,1,1,2014,3,1
"13141",26435791004,2014-01-01,0,3,83.115,1,1,2014,3,1
"17521",26435791004,2014-01-01,0,4,83.835,1,1,2014,3,1
"21901",26435791004,2014-01-01,0,5,85.53,1,1,2014,3,1
"26281",26435791004,2014-01-01,0,6,151.694997,1,1,2014,3,1
"30661",26435791004,2014-01-01,1,7,153.764997,1,1,2014,3,1
"35041",26435791004,2014-01-01,1,8,151.079997,1,1,2014,3,1
"39421",26435791004,2014-01-01,1,9,151.049998,1,1,2014,3,1
"43801",26435791004,2014-01-01,1,10,151.349996,1,1,2014,3,1
"48181",26435791004,2014-01-01,1,11,151.079998,1,1,2014,3,1
"52561",26435791004,2014-01-01,1,12,152.324995,1,1,2014,3,1
"56941",26435791004,2014-01-01,1,13,151.574998,1,1,2014,3,1
"61321",26435791004,2014-01-01,1,14,131.804994,1,1,2014,3,1
"65701",26435791004,2014-01-01,1,15,149.819996,1,1,2014,3,1
"70081",26435791004,2014-01-01,1,16,160.394997,1,1,2014,3,1
"74461",26435791004,2014-01-01,1,17,160.889997,1,1,2014,3,1
"78841",26435791004,2014-01-01,1,18,159.464997,1,1,2014,3,1
"83221",26435791004,2014-01-01,1,19,153.434997,1,1,2014,3,1
"87601",26435791004,2014-01-01,0,20,122.624997,1,1,2014,3,1
"91981",26435791004,2014-01-01,0,21,115.094995,1,1,2014,3,1
"96361",26435791004,2014-01-01,0,22,111.089998,1,1,2014,3,1
"100741",26435791004,2014-01-01,0,23,88.065,1,1,2014,3,1
"10",26435791004,2014-01-10,0,0,84.78,1,10,2014,5,1
"4390",26435791004,2014-01-10,0,1,83.82,1,10,2014,5,1
"8770",26435791004,2014-01-10,0,2,83.52,1,10,2014,5,1
"13150",26435791004,2014-01-10,0,3,85.08,1,10,2014,5,1
"17530",26435791004,2014-01-10,0,4,85.62,1,10,2014,5,1
"21910",26435791004,2014-01-10,0,5,88.425,1,10,2014,5,1
"26290",26435791004,2014-01-10,0,6,265.964994,1,10,2014,5,1
"30670",26435791004,2014-01-10,1,7,276.014993,1,10,2014,5,1
"35050",26435791004,2014-01-10,1,8,298.799997,1,10,2014,5,1
"39430",26435791004,2014-01-10,1,9,305.774993,1,10,2014,5,1
"43810",26435791004,2014-01-10,1,10,311.89499,1,10,2014,5,1
"48190",26435791004,2014-01-10,1,11,306.929993,1,10,2014,5,1
"52570",26435791004,2014-01-10,1,12,295.949994,1,10,2014,5,1
"56950",26435791004,2014-01-10,1,13,289.199995,1,10,2014,5,1
"61330",26435791004,2014-01-10,1,14,270.644995,1,10,2014,5,1
"65710",26435791004,2014-01-10,1,15,252.62999,1,10,2014,5,1
"70090",26435791004,2014-01-10,1,16,226.064994,1,10,2014,5,1
"74470",26435791004,2014-01-10,1,17,217.019994,1,10,2014,5,1
"78850",26435791004,2014-01-10,1,18,167.069995,1,10,2014,5,1
"83230",26435791004,2014-01-10,1,19,165.524997,1,10,2014,5,1
"87610",26435791004,2014-01-10,0,20,125.864998,1,10,2014,5,1
"91990",26435791004,2014-01-10,0,21,112.604999,1,10,2014,5,1
"96370",26435791004,2014-01-10,0,22,103.484998,1,10,2014,5,1
"100750",26435791004,2014-01-10,0,23,85.74,1,10,2014,5,1
"11",26435791004,2014-01-11,0,0,82.5,1,11,2014,6,0
"4391",26435791004,2014-01-11,0,1,82.275,1,11,2014,6,0
"8771",26435791004,2014-01-11,0,2,81.345,1,11,2014,6,0
"13151",26435791004,2014-01-11,0,3,82.155,1,11,2014,6,0
"17531",26435791004,2014-01-11,0,4,81.615,1,11,2014,6,0
"21911",26435791004,2014-01-11,0,5,81.87,1,11,2014,6,0
"26291",26435791004,2014-01-11,0,6,162.464999,1,11,2014,6,0
"30671",26435791004,2014-01-11,1,7,149.294997,1,11,2014,6,0
"35051",26435791004,2014-01-11,1,8,184.889993,1,11,2014,6,0
"39431",26435791004,2014-01-11,1,9,185.789996,1,11,2014,6,0
"43811",26435791004,2014-01-11,1,10,176.999998,1,11,2014,6,0
"48191",26435791004,2014-01-11,1,11,173.684996,1,11,2014,6,0
"52571",26435791004,2014-01-11,1,12,174.149997,1,11,2014,6,0
"56951",26435791004,2014-01-11,1,13,171.614995,1,11,2014,6,0
"61331",26435791004,2014-01-11,1,14,155.849997,1,11,2014,6,0
"65711",26435791004,2014-01-11,1,15,108.479999,1,11,2014,6,0
"70091",26435791004,2014-01-11,1,16,103.739999,1,11,2014,6,0
"74471",26435791004,2014-01-11,1,17,93.15,1,11,2014,6,0
"78851",26435791004,2014-01-11,1,18,94.335,1,11,2014,6,0
"83231",26435791004,2014-01-11,1,19,94.124999,1,11,2014,6,0
"87611",26435791004,2014-01-11,0,20,93.6,1,11,2014,6,0
"91991",26435791004,2014-01-11,0,21,91.935,1,11,2014,6,0
"96371",26435791004,2014-01-11,0,22,88.605,1,11,2014,6,0
"100751",26435791004,2014-01-11,0,23,86.58,1,11,2014,6,0
"12",26435791004,2014-01-12,0,0,83.265,1,12,2014,0,0
"4392",26435791004,2014-01-12,0,1,82.47,1,12,2014,0,0
"8772",26435791004,2014-01-12,0,2,83.145,1,12,2014,0,0
"13152",26435791004,2014-01-12,0,3,84.18,1,12,2014,0,0
"17532",26435791004,2014-01-12,0,4,83.235,1,12,2014,0,0
"21912",26435791004,2014-01-12,0,5,83.67,1,12,2014,0,0
"26292",26435791004,2014-01-12,0,6,90.63,1,12,2014,0,0
"30672",26435791004,2014-01-12,1,7,83.58,1,12,2014,0,0
"35052",26435791004,2014-01-12,1,8,83.46,1,12,2014,0,0
"39432",26435791004,2014-01-12,1,9,84.195,1,12,2014,0,0
"43812",26435791004,2014-01-12,1,10,82.95,1,12,2014,0,0
"48192",26435791004,2014-01-12,1,11,83.34,1,12,2014,0,0
"52572",26435791004,2014-01-12,1,12,83.685,1,12,2014,0,0
"56952",26435791004,2014-01-12,1,13,83.265,1,12,2014,0,0
"61332",26435791004,2014-01-12,1,14,83.415,1,12,2014,0,0
"65712",26435791004,2014-01-12,1,15,88.515,1,12,2014,0,0
"70092",26435791004,2014-01-12,1,16,93.66,1,12,2014,0,0
"74472",26435791004,2014-01-12,1,17,95.52,1,12,2014,0,0
"78852",26435791004,2014-01-12,1,18,96.195,1,12,2014,0,0
"83232",26435791004,2014-01-12,1,19,95.76,1,12,2014,0,0
"87612",26435791004,2014-01-12,0,20,95.85,1,12,2014,0,0
"91992",26435791004,2014-01-12,0,21,97.124998,1,12,2014,0,0
"96372",26435791004,2014-01-12,0,22,88.98,1,12,2014,0,0
"100752",26435791004,2014-01-12,0,23,81.72,1,12,2014,0,0
"13",26435791004,2014-01-13,0,0,81.66,1,13,2014,1,1
"4393",26435791004,2014-01-13,0,1,82.38,1,13,2014,1,1
"8773",26435791004,2014-01-13,0,2,82.14,1,13,2014,1,1
"13153",26435791004,2014-01-13,0,3,82.485,1,13,2014,1,1
"17533",26435791004,2014-01-13,0,4,83.205,1,13,2014,1,1
"21913",26435791004,2014-01-13,0,5,86.025,1,13,2014,1,1
"26293",26435791004,2014-01-13,0,6,243.224995,1,13,2014,1,1
"30673",26435791004,2014-01-13,1,7,261.734995,1,13,2014,1,1
"35053",26435791004,2014-01-13,1,8,266.20499,1,13,2014,1,1
"39433",26435791004,2014-01-13,1,9,289.244991,1,13,2014,1,1
"43813",26435791004,2014-01-13,1,10,285.554997,1,13,2014,1,1
"48193",26435791004,2014-01-13,1,11,273.119996,1,13,2014,1,1
"52573",26435791004,2014-01-13,1,12,271.619994,1,13,2014,1,1
"56953",26435791004,2014-01-13,1,13,263.309995,1,13,2014,1,1
"61333",26435791004,2014-01-13,1,14,244.514994,1,13,2014,1,1
"65713",26435791004,2014-01-13,1,15,236.744993,1,13,2014,1,1
"70093",26435791004,2014-01-13,1,16,224.189993,1,13,2014,1,1
"74473",26435791004,2014-01-13,1,17,212.159995,1,13,2014,1,1
"78853",26435791004,2014-01-13,1,18,167.999998,1,13,2014,1,1
"83233",26435791004,2014-01-13,1,19,156.824998,1,13,2014,1,1
"87613",26435791004,2014-01-13,0,20,113.489995,1,13,2014,1,1
"91993",26435791004,2014-01-13,0,21,106.619997,1,13,2014,1,1
"96373",26435791004,2014-01-13,0,22,97.979999,1,13,2014,1,1
"100753",26435791004,2014-01-13,0,23,81.465,1,13,2014,1,1
"14",26435791004,2014-01-14,0,0,81.795,1,14,2014,2,1
"4394",26435791004,2014-01-14,0,1,80.79,1,14,2014,2,1
"8774",26435791004,2014-01-14,0,2,81.42,1,14,2014,2,1
"13154",26435791004,2014-01-14,0,3,82.305,1,14,2014,2,1
"17534",26435791004,2014-01-14,0,4,81.9,1,14,2014,2,1
"21914",26435791004,2014-01-14,0,5,82.41,1,14,2014,2,1
"26294",26435791004,2014-01-14,0,6,228.794996,1,14,2014,2,1
"30674",26435791004,2014-01-14,1,7,259.514994,1,14,2014,2,1
"35054",26435791004,2014-01-14,1,8,253.424995,1,14,2014,2,1
"39434",26435791004,2014-01-14,1,9,240.629994,1,14,2014,2,1
"43814",26435791004,2014-01-14,1,10,277.814992,1,14,2014,2,1
"48194",26435791004,2014-01-14,1,11,281.249994,1,14,2014,2,1
"52574",26435791004,2014-01-14,1,12,278.339991,1,14,2014,2,1
"56954",26435791004,2014-01-14,1,13,267.794993,1,14,2014,2,1
"61334",26435791004,2014-01-14,1,14,245.384996,1,14,2014,2,1
"65714",26435791004,2014-01-14,1,15,231.314995,1,14,2014,2,1
"70094",26435791004,2014-01-14,1,16,215.864996,1,14,2014,2,1
"74474",26435791004,2014-01-14,1,17,200.849995,1,14,2014,2,1
"78854",26435791004,2014-01-14,1,18,161.279998,1,14,2014,2,1
"83234",26435791004,2014-01-14,1,19,153.404997,1,14,2014,2,1
"87614",26435791004,2014-01-14,0,20,116.654997,1,14,2014,2,1
"91994",26435791004,2014-01-14,0,21,107.159998,1,14,2014,2,1
"96374",26435791004,2014-01-14,0,22,97.575,1,14,2014,2,1
"100754",26435791004,2014-01-14,0,23,81.36,1,14,2014,2,1
"15",26435791004,2014-01-15,0,0,80.895,1,15,2014,3,1
"4395",26435791004,2014-01-15,0,1,80.22,1,15,2014,3,1
"8775",26435791004,2014-01-15,0,2,80.4,1,15,2014,3,1
"13155",26435791004,2014-01-15,0,3,81.015,1,15,2014,3,1
"17535",26435791004,2014-01-15,0,4,81.075,1,15,2014,3,1
"21915",26435791004,2014-01-15,0,5,81.66,1,15,2014,3,1
"26295",26435791004,2014-01-15,0,6,231.914996,1,15,2014,3,1
"30675",26435791004,2014-01-15,1,7,246.149994,1,15,2014,3,1
"35055",26435791004,2014-01-15,1,8,258.764996,1,15,2014,3,1
"39435",26435791004,2014-01-15,1,9,283.139996,1,15,2014,3,1
"43815",26435791004,2014-01-15,1,10,277.469996,1,15,2014,3,1
"48195",26435791004,2014-01-15,1,11,269.024995,1,15,2014,3,1
"52575",26435791004,2014-01-15,1,12,274.019992,1,15,2014,3,1
"56955",26435791004,2014-01-15,1,13,268.649997,1,15,2014,3,1
"61335",26435791004,2014-01-15,1,14,244.904995,1,15,2014,3,1
"65715",26435791004,2014-01-15,1,15,237.224992,1,15,2014,3,1
"70095",26435791004,2014-01-15,1,16,227.654996,1,15,2014,3,1
"74475",26435791004,2014-01-15,1,17,217.214997,1,15,2014,3,1
"78855",26435791004,2014-01-15,1,18,162.059999,1,15,2014,3,1
"83235",26435791004,2014-01-15,1,19,152.204997,1,15,2014,3,1
"87615",26435791004,2014-01-15,0,20,114.494998,1,15,2014,3,1
"91995",26435791004,2014-01-15,0,21,105.599997,1,15,2014,3,1
"96375",26435791004,2014-01-15,0,22,97.889995,1,15,2014,3,1
"100755",26435791004,2014-01-15,0,23,80.61,1,15,2014,3,1
"16",26435791004,2014-01-16,0,0,79.35,1,16,2014,4,1
"4396",26435791004,2014-01-16,0,1,80.37,1,16,2014,4,1
"8776",26435791004,2014-01-16,0,2,80.04,1,16,2014,4,1
"13156",26435791004,2014-01-16,0,3,81.375,1,16,2014,4,1
"17536",26435791004,2014-01-16,0,4,80.355,1,16,2014,4,1
"21916",26435791004,2014-01-16,0,5,80.595,1,16,2014,4,1
"26296",26435791004,2014-01-16,0,6,223.799995,1,16,2014,4,1
"30676",26435791004,2014-01-16,1,7,252.464995,1,16,2014,4,1
"35056",26435791004,2014-01-16,1,8,266.474995,1,16,2014,4,1
"39436",26435791004,2014-01-16,1,9,279.614993,1,16,2014,4,1
"43816",26435791004,2014-01-16,1,10,280.394994,1,16,2014,4,1
"48196",26435791004,2014-01-16,1,11,281.069995,1,16,2014,4,1
"52576",26435791004,2014-01-16,1,12,281.759993,1,16,2014,4,1
"56956",26435791004,2014-01-16,1,13,273.419993,1,16,2014,4,1
"61336",26435791004,2014-01-16,1,14,258.134993,1,16,2014,4,1
"65716",26435791004,2014-01-16,1,15,249.734991,1,16,2014,4,1
"70096",26435791004,2014-01-16,1,16,220.709994,1,16,2014,4,1
"74476",26435791004,2014-01-16,1,17,215.654994,1,16,2014,4,1
"78856",26435791004,2014-01-16,1,18,172.124996,1,16,2014,4,1
"83236",26435791004,2014-01-16,1,19,158.159997,1,16,2014,4,1
"87616",26435791004,2014-01-16,0,20,121.379998,1,16,2014,4,1
"91996",26435791004,2014-01-16,0,21,108.539998,1,16,2014,4,1
"96376",26435791004,2014-01-16,0,22,97.949997,1,16,2014,4,1
"100756",26435791004,2014-01-16,0,23,82.485,1,16,2014,4,1
"17",26435791004,2014-01-17,0,0,81.735,1,17,2014,5,1
"4397",26435791004,2014-01-17,0,1,80.91,1,17,2014,5,1
"8777",26435791004,2014-01-17,0,2,81.045,1,17,2014,5,1
"13157",26435791004,2014-01-17,0,3,81.915,1,17,2014,5,1
"17537",26435791004,2014-01-17,0,4,81.99,1,17,2014,5,1
"21917",26435791004,2014-01-17,0,5,81.36,1,17,2014,5,1
"26297",26435791004,2014-01-17,0,6,227.204994,1,17,2014,5,1
"30677",26435791004,2014-01-17,1,7,267.299996,1,17,2014,5,1
"35057",26435791004,2014-01-17,1,8,288.89999,1,17,2014,5,1
"39437",26435791004,2014-01-17,1,9,294.404994,1,17,2014,5,1
"43817",26435791004,2014-01-17,1,10,292.409994,1,17,2014,5,1
"48197",26435791004,2014-01-17,1,11,286.754997,1,17,2014,5,1
"52577",26435791004,2014-01-17,1,12,281.339996,1,17,2014,5,1
"56957",26435791004,2014-01-17,1,13,266.714991,1,17,2014,5,1
"61337",26435791004,2014-01-17,1,14,238.964998,1,17,2014,5,1
"65717",26435791004,2014-01-17,1,15,198.524996,1,17,2014,5,1
"70097",26435791004,2014-01-17,1,16,197.039994,1,17,2014,5,1
"74477",26435791004,2014-01-17,1,17,208.514995,1,17,2014,5,1
"78857",26435791004,2014-01-17,1,18,166.589994,1,17,2014,5,1
"83237",26435791004,2014-01-17,1,19,162.539997,1,17,2014,5,1
"87617",26435791004,2014-01-17,0,20,120.134998,1,17,2014,5,1
"91997",26435791004,2014-01-17,0,21,109.589998,1,17,2014,5,1
"96377",26435791004,2014-01-17,0,22,101.129999,1,17,2014,5,1
"100757",26435791004,2014-01-17,0,23,83.445,1,17,2014,5,1
"18",26435791004,2014-01-18,0,0,80.145,1,18,2014,6,0
"4398",26435791004,2014-01-18,0,1,79.86,1,18,2014,6,0
"8778",26435791004,2014-01-18,0,2,79.77,1,18,2014,6,0
"13158",26435791004,2014-01-18,0,3,82.215,1,18,2014,6,0
"17538",26435791004,2014-01-18,0,4,81.255,1,18,2014,6,0
"21918",26435791004,2014-01-18,0,5,80.1,1,18,2014,6,0
"26298",26435791004,2014-01-18,0,6,146.684998,1,18,2014,6,0
"30678",26435791004,2014-01-18,1,7,146.849998,1,18,2014,6,0
"35058",26435791004,2014-01-18,1,8,177.044996,1,18,2014,6,0
"39438",26435791004,2014-01-18,1,9,182.609995,1,18,2014,6,0
"43818",26435791004,2014-01-18,1,10,182.204997,1,18,2014,6,0
"48198",26435791004,2014-01-18,1,11,183.434997,1,18,2014,6,0
"52578",26435791004,2014-01-18,1,12,181.769997,1,18,2014,6,0
"56958",26435791004,2014-01-18,1,13,176.264998,1,18,2014,6,0
"61338",26435791004,2014-01-18,1,14,163.889996,1,18,2014,6,0
"65718",26435791004,2014-01-18,1,15,127.034999,1,18,2014,6,0
"70098",26435791004,2014-01-18,1,16,122.954999,1,18,2014,6,0
"74478",26435791004,2014-01-18,1,17,102.239997,1,18,2014,6,0
"78858",26435791004,2014-01-18,1,18,102.705,1,18,2014,6,0
"83238",26435791004,2014-01-18,1,19,100.335,1,18,2014,6,0
"87618",26435791004,2014-01-18,0,20,99.645,1,18,2014,6,0
"91998",26435791004,2014-01-18,0,21,99.629998,1,18,2014,6,0
"96378",26435791004,2014-01-18,0,22,91.05,1,18,2014,6,0
"100758",26435791004,2014-01-18,0,23,84.57,1,18,2014,6,0
"19",26435791004,2014-01-19,0,0,81.015,1,19,2014,0,0
"4399",26435791004,2014-01-19,0,1,79.53,1,19,2014,0,0
"8779",26435791004,2014-01-19,0,2,80.535,1,19,2014,0,0
"13159",26435791004,2014-01-19,0,3,81.255,1,19,2014,0,0
"17539",26435791004,2014-01-19,0,4,80.625,1,19,2014,0,0
"21919",26435791004,2014-01-19,0,5,80.22,1,19,2014,0,0
"26299",26435791004,2014-01-19,0,6,87.015,1,19,2014,0,0
"30679",26435791004,2014-01-19,1,7,81.285,1,19,2014,0,0
"35059",26435791004,2014-01-19,1,8,83.205,1,19,2014,0,0
"39439",26435791004,2014-01-19,1,9,83.205,1,19,2014,0,0
"43819",26435791004,2014-01-19,1,10,81.615,1,19,2014,0,0
"48199",26435791004,2014-01-19,1,11,81.735,1,19,2014,0,0
"52579",26435791004,2014-01-19,1,12,81.405,1,19,2014,0,0
"56959",26435791004,2014-01-19,1,13,81.3,1,19,2014,0,0
"61339",26435791004,2014-01-19,1,14,81.06,1,19,2014,0,0
"65719",26435791004,2014-01-19,1,15,88.05,1,19,2014,0,0
"70099",26435791004,2014-01-19,1,16,94.514999,1,19,2014,0,0
"74479",26435791004,2014-01-19,1,17,95.099999,1,19,2014,0,0
"78859",26435791004,2014-01-19,1,18,94.44,1,19,2014,0,0
"83239",26435791004,2014-01-19,1,19,95.414999,1,19,2014,0,0
"87619",26435791004,2014-01-19,0,20,94.199999,1,19,2014,0,0
"91999",26435791004,2014-01-19,0,21,96.329999,1,19,2014,0,0
"96379",26435791004,2014-01-19,0,22,85.68,1,19,2014,0,0
"100759",26435791004,2014-01-19,0,23,82.455,1,19,2014,0,0
"2",26435791004,2014-01-02,0,0,87.465,1,2,2014,4,1
"4382",26435791004,2014-01-02,0,1,86.7,1,2,2014,4,1
"8762",26435791004,2014-01-02,0,2,88.14,1,2,2014,4,1
"13142",26435791004,2014-01-02,0,3,93.524999,1,2,2014,4,1
"17522",26435791004,2014-01-02,0,4,213.869995,1,2,2014,4,1
"21902",26435791004,2014-01-02,0,5,212.459997,1,2,2014,4,1
"26282",26435791004,2014-01-02,0,6,254.369992,1,2,2014,4,1
"30662",26435791004,2014-01-02,1,7,251.639997,1,2,2014,4,1
"35042",26435791004,2014-01-02,1,8,257.969993,1,2,2014,4,1
"39422",26435791004,2014-01-02,1,9,257.624997,1,2,2014,4,1
"43802",26435791004,2014-01-02,1,10,258.224991,1,2,2014,4,1
"48182",26435791004,2014-01-02,1,11,255.704994,1,2,2014,4,1
"52562",26435791004,2014-01-02,1,12,253.634995,1,2,2014,4,1
"56942",26435791004,2014-01-02,1,13,250.904996,1,2,2014,4,1
"61322",26435791004,2014-01-02,1,14,236.759994,1,2,2014,4,1
"65702",26435791004,2014-01-02,1,15,229.8,1,2,2014,4,1
"70082",26435791004,2014-01-02,1,16,225.464994,1,2,2014,4,1
"74462",26435791004,2014-01-02,1,17,228.854997,1,2,2014,4,1
"78842",26435791004,2014-01-02,1,18,157.514997,1,2,2014,4,1
"83222",26435791004,2014-01-02,1,19,156.809995,1,2,2014,4,1
"87602",26435791004,2014-01-02,0,20,116.714998,1,2,2014,4,1
"91982",26435791004,2014-01-02,0,21,110.744999,1,2,2014,4,1
"96362",26435791004,2014-01-02,0,22,103.425,1,2,2014,4,1
"100742",26435791004,2014-01-02,0,23,87.48,1,2,2014,4,1
"20",26435791004,2014-01-20,0,0,81.345,1,20,2014,1,1
"4400",26435791004,2014-01-20,0,1,82.905,1,20,2014,1,1
"8780",26435791004,2014-01-20,0,2,81.6,1,20,2014,1,1
"13160",26435791004,2014-01-20,0,3,81.45,1,20,2014,1,1
"17540",26435791004,2014-01-20,0,4,81.81,1,20,2014,1,1
"21920",26435791004,2014-01-20,0,5,85.92,1,20,2014,1,1
"26300",26435791004,2014-01-20,0,6,233.984995,1,20,2014,1,1
"30680",26435791004,2014-01-20,1,7,233.669994,1,20,2014,1,1
"35060",26435791004,2014-01-20,1,8,227.264993,1,20,2014,1,1
"39440",26435791004,2014-01-20,1,9,226.034993,1,20,2014,1,1
"43820",26435791004,2014-01-20,1,10,220.859995,1,20,2014,1,1
"48200",26435791004,2014-01-20,1,11,219.989996,1,20,2014,1,1
"52580",26435791004,2014-01-20,1,12,222.179998,1,20,2014,1,1
"56960",26435791004,2014-01-20,1,13,220.079998,1,20,2014,1,1
"61340",26435791004,2014-01-20,1,14,204.404993,1,20,2014,1,1
"65720",26435791004,2014-01-20,1,15,205.604994,1,20,2014,1,1
"70100",26435791004,2014-01-20,1,16,202.379994,1,20,2014,1,1
"74480",26435791004,2014-01-20,1,17,203.549994,1,20,2014,1,1
"78860",26435791004,2014-01-20,1,18,160.274995,1,20,2014,1,1
"83240",26435791004,2014-01-20,1,19,149.429999,1,20,2014,1,1
"87620",26435791004,2014-01-20,0,20,113.339999,1,20,2014,1,1
"92000",26435791004,2014-01-20,0,21,104.805,1,20,2014,1,1
"96380",26435791004,2014-01-20,0,22,100.2,1,20,2014,1,1
"100760",26435791004,2014-01-20,0,23,81.525,1,20,2014,1,1
"21",26435791004,2014-01-21,0,0,80.745,1,21,2014,2,1
"4401",26435791004,2014-01-21,0,1,80.73,1,21,2014,2,1
"8781",26435791004,2014-01-21,0,2,80.52,1,21,2014,2,1
"13161",26435791004,2014-01-21,0,3,82.41,1,21,2014,2,1
"17541",26435791004,2014-01-21,0,4,81.255,1,21,2014,2,1
"21921",26435791004,2014-01-21,0,5,85.2,1,21,2014,2,1
"26301",26435791004,2014-01-21,0,6,255.764994,1,21,2014,2,1
"30681",26435791004,2014-01-21,1,7,285.749995,1,21,2014,2,1
"35061",26435791004,2014-01-21,1,8,296.354993,1,21,2014,2,1
"39441",26435791004,2014-01-21,1,9,298.76999,1,21,2014,2,1
"43821",26435791004,2014-01-21,1,10,303.179996,1,21,2014,2,1
"48201",26435791004,2014-01-21,1,11,304.334991,1,21,2014,2,1
"52581",26435791004,2014-01-21,1,12,300.014994,1,21,2014,2,1
"56961",26435791004,2014-01-21,1,13,297.959992,1,21,2014,2,1
"61341",26435791004,2014-01-21,1,14,280.694994,1,21,2014,2,1
"65721",26435791004,2014-01-21,1,15,253.709994,1,21,2014,2,1
"70101",26435791004,2014-01-21,1,16,233.684996,1,21,2014,2,1
"74481",26435791004,2014-01-21,1,17,228.104992,1,21,2014,2,1
"78861",26435791004,2014-01-21,1,18,158.999994,1,21,2014,2,1
"83241",26435791004,2014-01-21,1,19,153.149993,1,21,2014,2,1
"87621",26435791004,2014-01-21,0,20,116.459998,1,21,2014,2,1
"92001",26435791004,2014-01-21,0,21,113.535,1,21,2014,2,1
"96381",26435791004,2014-01-21,0,22,103.739999,1,21,2014,2,1
"100761",26435791004,2014-01-21,0,23,87.69,1,21,2014,2,1
"22",26435791004,2014-01-22,0,0,88.245,1,22,2014,3,1
"4402",26435791004,2014-01-22,0,1,87.975,1,22,2014,3,1
"8782",26435791004,2014-01-22,0,2,87.765,1,22,2014,3,1
"13162",26435791004,2014-01-22,0,3,88.785,1,22,2014,3,1
"17542",26435791004,2014-01-22,0,4,88.395,1,22,2014,3,1
"21922",26435791004,2014-01-22,0,5,93.765,1,22,2014,3,1
"26302",26435791004,2014-01-22,0,6,256.709994,1,22,2014,3,1
"30682",26435791004,2014-01-22,1,7,269.354992,1,22,2014,3,1
"35062",26435791004,2014-01-22,1,8,262.169994,1,22,2014,3,1
"39442",26435791004,2014-01-22,1,9,257.024997,1,22,2014,3,1
"43822",26435791004,2014-01-22,1,10,263.429992,1,22,2014,3,1
"48202",26435791004,2014-01-22,1,11,257.354995,1,22,2014,3,1
"52582",26435791004,2014-01-22,1,12,257.429992,1,22,2014,3,1
"56962",26435791004,2014-01-22,1,13,259.139993,1,22,2014,3,1
"61342",26435791004,2014-01-22,1,14,248.954996,1,22,2014,3,1
"65722",26435791004,2014-01-22,1,15,248.219997,1,22,2014,3,1
"70102",26435791004,2014-01-22,1,16,244.289997,1,22,2014,3,1
"74482",26435791004,2014-01-22,1,17,244.154994,1,22,2014,3,1
"78862",26435791004,2014-01-22,1,18,170.024995,1,22,2014,3,1
"83242",26435791004,2014-01-22,1,19,164.879997,1,22,2014,3,1
"87622",26435791004,2014-01-22,0,20,120.239996,1,22,2014,3,1
"92002",26435791004,2014-01-22,0,21,111.554997,1,22,2014,3,1
"96382",26435791004,2014-01-22,0,22,104.52,1,22,2014,3,1
"100762",26435791004,2014-01-22,0,23,87.735,1,22,2014,3,1
"23",26435791004,2014-01-23,0,0,88.23,1,23,2014,4,1
"4403",26435791004,2014-01-23,0,1,88.56,1,23,2014,4,1
"8783",26435791004,2014-01-23,0,2,88.08,1,23,2014,4,1
"13163",26435791004,2014-01-23,0,3,88.455,1,23,2014,4,1
"17543",26435791004,2014-01-23,0,4,88.17,1,23,2014,4,1
"21923",26435791004,2014-01-23,0,5,93.66,1,23,2014,4,1
"26303",26435791004,2014-01-23,0,6,262.469994,1,23,2014,4,1
"30683",26435791004,2014-01-23,1,7,298.889995,1,23,2014,4,1
"35063",26435791004,2014-01-23,1,8,308.399998,1,23,2014,4,1
"39443",26435791004,2014-01-23,1,9,315.899992,1,23,2014,4,1
"43823",26435791004,2014-01-23,1,10,313.919992,1,23,2014,4,1
"48203",26435791004,2014-01-23,1,11,306.089992,1,23,2014,4,1
"52583",26435791004,2014-01-23,1,12,303.254993,1,23,2014,4,1
"56963",26435791004,2014-01-23,1,13,301.334993,1,23,2014,4,1
"61343",26435791004,2014-01-23,1,14,287.414993,1,23,2014,4,1
"65723",26435791004,2014-01-23,1,15,268.694996,1,23,2014,4,1
"70103",26435791004,2014-01-23,1,16,260.354993,1,23,2014,4,1
"74483",26435791004,2014-01-23,1,17,250.979993,1,23,2014,4,1
"78863",26435791004,2014-01-23,1,18,180.209994,1,23,2014,4,1
"83243",26435791004,2014-01-23,1,19,175.664999,1,23,2014,4,1
"87623",26435791004,2014-01-23,0,20,126.884996,1,23,2014,4,1
"92003",26435791004,2014-01-23,0,21,113.999999,1,23,2014,4,1
"96383",26435791004,2014-01-23,0,22,103.95,1,23,2014,4,1
"100763",26435791004,2014-01-23,0,23,87.3,1,23,2014,4,1
"24",26435791004,2014-01-24,0,0,87.405,1,24,2014,5,1
"4404",26435791004,2014-01-24,0,1,87.57,1,24,2014,5,1
"8784",26435791004,2014-01-24,0,2,87.54,1,24,2014,5,1
"13164",26435791004,2014-01-24,0,3,87.9,1,24,2014,5,1
"17544",26435791004,2014-01-24,0,4,88.035,1,24,2014,5,1
"21924",26435791004,2014-01-24,0,5,95.999999,1,24,2014,5,1
"26304",26435791004,2014-01-24,0,6,264.269995,1,24,2014,5,1
"30684",26435791004,2014-01-24,1,7,288.524996,1,24,2014,5,1
