"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature","kWh"
"1",20160613,6,13,2016,18,1,1,1,70,222.877389266075
"2",20160613,6,13,2016,19,1,1,1,70,222.877389266075
"3",20160613,6,13,2016,20,1,1,0,69,108.055147260851
"4",20160613,6,13,2016,21,1,1,0,67,106.998261451371
"5",20160613,6,13,2016,22,1,1,0,65,105.94137564189
"6",20160613,6,13,2016,23,1,1,0,63,104.88448983241
"7",20160614,6,14,2016,0,2,1,0,61,108.610245590197
"8",20160614,6,14,2016,1,2,1,0,60,108.081802685457
"9",20160614,6,14,2016,2,2,1,0,59,107.553359780716
"10",20160614,6,14,2016,3,2,1,0,58,107.024916875976
"11",20160614,6,14,2016,4,2,1,0,57,106.496473971236
"12",20160614,6,14,2016,5,2,1,0,56,105.968031066496
"13",20160614,6,14,2016,6,2,1,1,56,220.261830166979
"14",20160614,6,14,2016,7,2,1,1,58,221.31871597646
"15",20160614,6,14,2016,8,2,1,1,61,222.90404469068
"16",20160614,6,14,2016,9,2,1,1,64,224.489373404901
"17",20160614,6,14,2016,10,2,1,1,67,226.074702119121
"18",20160614,6,14,2016,11,2,1,1,69,227.131587928601
"19",20160614,6,14,2016,12,2,1,1,71,228.188473738082
"20",20160614,6,14,2016,13,2,1,1,73,229.245359547562
"21",20160614,6,14,2016,14,2,1,1,75,230.302245357043
"22",20160614,6,14,2016,15,2,1,1,75,230.302245357043
"23",20160614,6,14,2016,16,2,1,1,75,230.302245357043
"24",20160614,6,14,2016,17,2,1,1,75,230.302245357043
"25",20160614,6,14,2016,18,2,1,1,74,229.773802452302
"26",20160614,6,14,2016,19,2,1,1,73,229.245359547562
"27",20160614,6,14,2016,20,2,1,0,71,113.894674637598
"28",20160614,6,14,2016,21,2,1,0,68,112.309345923378
"29",20160614,6,14,2016,22,2,1,0,66,111.252460113898
"30",20160614,6,14,2016,23,2,1,0,65,110.724017209157
"31",20160615,6,15,2016,0,3,1,0,64,114.978215871684
"32",20160615,6,15,2016,1,3,1,0,63,114.449772966944
"33",20160615,6,15,2016,2,3,1,0,62,113.921330062204
"34",20160615,6,15,2016,3,3,1,0,61,113.392887157464
"35",20160615,6,15,2016,4,3,1,0,61,113.392887157464
"36",20160615,6,15,2016,5,3,1,0,60,112.864444252724
"37",20160615,6,15,2016,6,3,1,1,61,227.686686257947
"38",20160615,6,15,2016,7,3,1,1,65,229.800457876908
"39",20160615,6,15,2016,8,3,1,1,68,231.385786591128
"40",20160615,6,15,2016,9,3,1,1,71,232.971115305349
"41",20160615,6,15,2016,10,3,1,1,74,234.556444019569
"42",20160615,6,15,2016,11,3,1,1,76,235.61332982905
"43",20160615,6,15,2016,12,3,1,1,77,236.14177273379
"44",20160615,6,15,2016,13,3,1,1,78,236.67021563853
"45",20160615,6,15,2016,14,3,1,1,78,236.67021563853
"46",20160615,6,15,2016,15,3,1,1,79,237.19865854327
"47",20160615,6,15,2016,16,3,1,1,79,237.19865854327
"48",20160615,6,15,2016,17,3,1,1,78,236.67021563853
