"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"132",20160619,6,19,2016,5,0,0,0,56
"133",20160619,6,19,2016,6,0,0,1,57
"134",20160619,6,19,2016,7,0,0,1,60
"135",20160619,6,19,2016,8,0,0,1,63
"136",20160619,6,19,2016,9,0,0,1,66
"137",20160619,6,19,2016,10,0,0,1,68
"138",20160619,6,19,2016,11,0,0,1,70
"139",20160619,6,19,2016,12,0,0,1,71
"140",20160619,6,19,2016,13,0,0,1,70
"141",20160619,6,19,2016,14,0,0,1,69
"142",20160619,6,19,2016,15,0,0,1,69
"143",20160619,6,19,2016,16,0,0,1,68
"144",20160619,6,19,2016,17,0,0,1,68
"145",20160619,6,19,2016,18,0,0,1,66
"146",20160619,6,19,2016,19,0,0,1,65
"147",20160619,6,19,2016,20,0,0,0,62
"148",20160619,6,19,2016,21,0,0,0,62
"149",20160619,6,19,2016,22,0,0,0,62
"150",20160619,6,19,2016,23,0,0,0,62
"151",20160620,6,20,2016,0,1,1,0,62
"152",20160620,6,20,2016,1,1,1,0,62
"153",20160620,6,20,2016,2,1,1,0,62
"154",20160620,6,20,2016,3,1,1,0,61
"155",20160620,6,20,2016,4,1,1,0,61
"156",20160620,6,20,2016,5,1,1,0,61
"157",20160620,6,20,2016,6,1,1,1,61
"158",20160620,6,20,2016,7,1,1,1,63
"159",20160620,6,20,2016,8,1,1,1,67
"160",20160620,6,20,2016,9,1,1,1,70
"161",20160620,6,20,2016,10,1,1,1,73
"162",20160620,6,20,2016,11,1,1,1,74
"163",20160620,6,20,2016,12,1,1,1,76
"164",20160620,6,20,2016,13,1,1,1,76
"165",20160620,6,20,2016,14,1,1,1,77
"166",20160620,6,20,2016,15,1,1,1,77
"167",20160620,6,20,2016,16,1,1,1,76
"168",20160620,6,20,2016,17,1,1,1,75
"169",20160620,6,20,2016,18,1,1,1,75
"170",20160620,6,20,2016,19,1,1,1,74
"171",20160620,6,20,2016,20,1,1,0,73
"172",20160620,6,20,2016,21,1,1,0,71
"173",20160620,6,20,2016,22,1,1,0,71
"174",20160620,6,20,2016,23,1,1,0,70
"175",20160621,6,21,2016,0,2,1,0,69
"176",20160621,6,21,2016,1,2,1,0,68
"177",20160621,6,21,2016,2,2,1,0,68
"178",20160621,6,21,2016,3,2,1,0,66
"179",20160621,6,21,2016,4,2,1,0,66
"180",20160621,6,21,2016,5,2,1,0,66
"181",20160621,6,21,2016,6,2,1,1,67
"182",20160621,6,21,2016,7,2,1,1,69
"183",20160621,6,21,2016,8,2,1,1,72
"184",20160621,6,21,2016,9,2,1,1,74
"185",20160621,6,21,2016,10,2,1,1,77
"186",20160621,6,21,2016,11,2,1,1,80
"187",20160621,6,21,2016,12,2,1,1,82
"188",20160621,6,21,2016,13,2,1,1,83
"189",20160621,6,21,2016,14,2,1,1,83
"190",20160621,6,21,2016,15,2,1,1,83
"191",20160621,6,21,2016,16,2,1,1,81
"192",20160621,6,21,2016,17,2,1,1,80
"193",20160621,6,21,2016,18,2,1,1,79
"194",20160621,6,21,2016,19,2,1,1,78
"195",20160621,6,21,2016,20,2,1,0,76
"196",20160621,6,21,2016,21,2,1,0,75
"197",20160621,6,21,2016,22,2,1,0,73
"198",20160621,6,21,2016,23,2,1,0,71
"199",20160622,6,22,2016,0,3,1,0,71
"200",20160622,6,22,2016,1,3,1,0,69
"201",20160622,6,22,2016,2,3,1,0,68
"202",20160622,6,22,2016,3,3,1,0,67
"203",20160622,6,22,2016,4,3,1,0,67
"204",20160622,6,22,2016,5,3,1,0,67
"205",20160622,6,22,2016,6,3,1,1,67
"206",20160622,6,22,2016,7,3,1,1,69
"207",20160622,6,22,2016,8,3,1,1,72
"208",20160622,6,22,2016,9,3,1,1,74
"209",20160622,6,22,2016,10,3,1,1,76
"210",20160622,6,22,2016,11,3,1,1,78
"211",20160622,6,22,2016,12,3,1,1,79
"212",20160622,6,22,2016,13,3,1,1,80
"213",20160622,6,22,2016,14,3,1,1,81
"214",20160622,6,22,2016,15,3,1,1,80
"215",20160622,6,22,2016,16,3,1,1,79
"216",20160622,6,22,2016,17,3,1,1,78
"217",20160622,6,22,2016,18,3,1,1,76
"218",20160622,6,22,2016,19,3,1,1,75
"219",20160622,6,22,2016,20,3,1,0,74
"220",20160622,6,22,2016,21,3,1,0,72
"221",20160622,6,22,2016,22,3,1,0,70
"222",20160622,6,22,2016,23,3,1,0,69
