"","Date","Hour","Temp"
"1",2014-01-01,0,23
"330",2014-01-01,1,21.9
"661",2014-01-01,2,21.9
"990",2014-01-01,3,21.9
"1320",2014-01-01,4,21
"1646",2014-01-01,5,21
"1974",2014-01-01,6,21
"2302",2014-01-01,7,19.9
"2630",2014-01-01,8,23
"2959",2014-01-01,9,24.1
"3288",2014-01-01,10,26.1
"3614",2014-01-01,11,26.1
"3940",2014-01-01,12,27
"4267",2014-01-01,13,28
"4595",2014-01-01,14,27
"4923",2014-01-01,15,27
"5253",2014-01-01,16,26.1
"5582",2014-01-01,17,25
"5911",2014-01-01,18,24.1
"6239",2014-01-01,19,24.1
"6570",2014-01-01,20,23
"6901",2014-01-01,21,21.9
"7229",2014-01-01,22,23
"7553",2014-01-01,23,23
"2",2014-01-02,0,21
"331",2014-01-02,1,20.1666666666667
"662",2014-01-02,2,19.2
"991",2014-01-02,3,19.2
"1321",2014-01-02,4,19.2
"1647",2014-01-02,5,19.2666666666667
"1975",2014-01-02,6,19.2666666666667
"2303",2014-01-02,7,19.2
"2631",2014-01-02,8,19.5666666666667
"2960",2014-01-02,9,24.1
"3289",2014-01-02,10,25.8
"3615",2014-01-02,11,24.5666666666667
"3941",2014-01-02,12,24.1
"4268",2014-01-02,13,25.8333333333333
"4596",2014-01-02,14,19.9
"4924",2014-01-02,15,13.95
"5254",2014-01-02,16,12.1333333333333
"5583",2014-01-02,17,10.3
"5912",2014-01-02,18,8.1
"6240",2014-01-02,19,6.1
"6571",2014-01-02,20,6.45
"6902",2014-01-02,21,4.45
"7230",2014-01-02,22,3.1
"7554",2014-01-02,23,2.76666666666667
"3",2014-01-03,0,1.56666666666667
"332",2014-01-03,1,1.9
"663",2014-01-03,2,1.9
"992",2014-01-03,3,1.9
"1322",2014-01-03,4,1.65
"1648",2014-01-03,5,3.1
"1976",2014-01-03,6,3.1
"2304",2014-01-03,7,3.9
"2632",2014-01-03,8,5
"2961",2014-01-03,9,6.1
"3290",2014-01-03,10,8.8
"3616",2014-01-03,11,9.75
"3942",2014-01-03,12,12
"4269",2014-01-03,13,14
"4597",2014-01-03,14,14
"4925",2014-01-03,15,12.9
"5255",2014-01-03,16,10.9
"5584",2014-01-03,17,9
"5913",2014-01-03,18,7
"6241",2014-01-03,19,6.1
"6572",2014-01-03,20,5
"6903",2014-01-03,21,3.9
"7231",2014-01-03,22,3.9
"7555",2014-01-03,23,3.9
"4",2014-01-04,0,3.9
"333",2014-01-04,1,3.9
"664",2014-01-04,2,3
"993",2014-01-04,3,3.9
"1323",2014-01-04,4,3
"1649",2014-01-04,5,1.9
"1977",2014-01-04,6,1.9
"2305",2014-01-04,7,3
"2633",2014-01-04,8,7
"2962",2014-01-04,9,10
"3291",2014-01-04,10,14
"3617",2014-01-04,11,19
"3943",2014-01-04,12,21
"4270",2014-01-04,13,23
"4598",2014-01-04,14,24.1
"4926",2014-01-04,15,25
"5256",2014-01-04,16,26.1
"5585",2014-01-04,17,26.1
"5914",2014-01-04,18,27
"6242",2014-01-04,19,27
"6573",2014-01-04,20,26.1
"6904",2014-01-04,21,27
"7232",2014-01-04,22,27
"7556",2014-01-04,23,27
"5",2014-01-05,0,27
"334",2014-01-05,1,26.1
"665",2014-01-05,2,25
"994",2014-01-05,3,25
"1324",2014-01-05,4,26.1
"1650",2014-01-05,5,25
"1978",2014-01-05,6,25
"2306",2014-01-05,7,24.1
"2634",2014-01-05,8,27
"2963",2014-01-05,9,27
"3292",2014-01-05,10,30
"3618",2014-01-05,11,34
"3944",2014-01-05,12,36
"4271",2014-01-05,13,36
"4599",2014-01-05,14,36
"4927",2014-01-05,15,35.1
"5257",2014-01-05,16,34.45
"5586",2014-01-05,17,36
"5915",2014-01-05,18,35.0666666666667
"6243",2014-01-05,19,36
"6574",2014-01-05,20,36.7
"6905",2014-01-05,21,37.2
