"","Date","Hour","Temp"
"7233",2014-01-05,22,37.5666666666667
"7557",2014-01-05,23,37.0333333333333
"6",2014-01-06,0,39
"335",2014-01-06,1,37.9333333333333
"666",2014-01-06,2,40.2
"995",2014-01-06,3,43
"1325",2014-01-06,4,44.1
"1651",2014-01-06,5,44.7333333333333
"1979",2014-01-06,6,46.9
"2307",2014-01-06,7,48.1
"2635",2014-01-06,8,48.1333333333333
"2964",2014-01-06,9,51.1
"3293",2014-01-06,10,52.4666666666667
"3619",2014-01-06,11,54.5833333333333
"3945",2014-01-06,12,55.65
"4272",2014-01-06,13,53.8
"4600",2014-01-06,14,53.35
"4928",2014-01-06,15,48
"5258",2014-01-06,16,45
"5587",2014-01-06,17,38.875
"5916",2014-01-06,18,38.1
"6244",2014-01-06,19,35.1
"6575",2014-01-06,20,33.1
"6906",2014-01-06,21,32
"7234",2014-01-06,22,30.9
"7558",2014-01-06,23,28.9
"7",2014-01-07,0,28
"336",2014-01-07,1,27
"667",2014-01-07,2,26.1
"996",2014-01-07,3,19.9
"1326",2014-01-07,4,17.1
"1652",2014-01-07,5,15.1
"1980",2014-01-07,6,12.9
"2308",2014-01-07,7,12
"2636",2014-01-07,8,12.9
"2965",2014-01-07,9,14
"3294",2014-01-07,10,15.1
"3620",2014-01-07,11,15.1
"3946",2014-01-07,12,16
"4273",2014-01-07,13,15.1
"4601",2014-01-07,14,15.1
"4929",2014-01-07,15,12.9
"5259",2014-01-07,16,12
"5588",2014-01-07,17,10.9
"5917",2014-01-07,18,10
"6245",2014-01-07,19,10
"6576",2014-01-07,20,10
"6907",2014-01-07,21,10
"7235",2014-01-07,22,10
"7559",2014-01-07,23,10
"8",2014-01-08,0,9
"337",2014-01-08,1,8.1
"668",2014-01-08,2,8.1
"997",2014-01-08,3,8.1
"1327",2014-01-08,4,8.1
"1653",2014-01-08,5,8.1
"1981",2014-01-08,6,7
"2309",2014-01-08,7,8.1
"2637",2014-01-08,8,10.9
"2966",2014-01-08,9,14
"3295",2014-01-08,10,17.1
"3621",2014-01-08,11,19.9
"3947",2014-01-08,12,21.9
"4274",2014-01-08,13,21
"4602",2014-01-08,14,21.9
"4930",2014-01-08,15,21
"5260",2014-01-08,16,19.9
"5589",2014-01-08,17,19.9
"5918",2014-01-08,18,19.9
"6246",2014-01-08,19,19
"6577",2014-01-08,20,19
"6908",2014-01-08,21,19
"7236",2014-01-08,22,19
"7560",2014-01-08,23,19.9
"9",2014-01-09,0,19.9
"338",2014-01-09,1,19.9
"669",2014-01-09,2,19
"998",2014-01-09,3,19.9
"1328",2014-01-09,4,19.9
"1654",2014-01-09,5,19
"1982",2014-01-09,6,19
"2310",2014-01-09,7,19.9
"2638",2014-01-09,8,21.9
"2967",2014-01-09,9,24.1
"3296",2014-01-09,10,26.1
"3622",2014-01-09,11,26.1
"3948",2014-01-09,12,28
"4275",2014-01-09,13,30
"4603",2014-01-09,14,30
"4931",2014-01-09,15,28.9
"5261",2014-01-09,16,27
"5919",2014-01-09,18,25
"6247",2014-01-09,19,23
"6578",2014-01-09,20,21.9
"6909",2014-01-09,21,21.9
"7237",2014-01-09,22,19
"7561",2014-01-09,23,19
"10",2014-01-10,0,19
"339",2014-01-10,1,19
"670",2014-01-10,2,19
"999",2014-01-10,3,19.9
"1329",2014-01-10,4,21.9
"1655",2014-01-10,5,24.1
"1983",2014-01-10,6,24.1
"2311",2014-01-10,7,23.45
"2639",2014-01-10,8,24.5666666666667
"2968",2014-01-10,9,26.7333333333333
"3297",2014-01-10,10,27.0666666666667
"3623",2014-01-10,11,29.2
"3949",2014-01-10,12,30.9
"4276",2014-01-10,13,32
"4604",2014-01-10,14,32
"4932",2014-01-10,15,32
"5262",2014-01-10,16,33.5666666666667
"5590",2014-01-10,17,34.45
"5920",2014-01-10,18,35.8
"6248",2014-01-10,19,35.1
"6579",2014-01-10,20,35.1
"6910",2014-01-10,21,35.0666666666667
"7238",2014-01-10,22,33.85
"7562",2014-01-10,23,35.1
"11",2014-01-11,0,34
"340",2014-01-11,1,34
"671",2014-01-11,2,35.4333333333333
"1000",2014-01-11,3,35.4333333333333
"1330",2014-01-11,4,35.1
"1656",2014-01-11,5,36
"1984",2014-01-11,6,37.35
"2312",2014-01-11,7,41.6666666666667
"2640",2014-01-11,8,46
"2969",2014-01-11,9,47.7
"3298",2014-01-11,10,54
"3624",2014-01-11,11,54.3
"3950",2014-01-11,12,56.55
"4277",2014-01-11,13,55.9
"4605",2014-01-11,14,54
"4933",2014-01-11,15,55.65
"5263",2014-01-11,16,55.9
"5591",2014-01-11,17,57
"5921",2014-01-11,18,55.9
"6249",2014-01-11,19,56.2
"6580",2014-01-11,20,56.65
"6911",2014-01-11,21,55.9
"7239",2014-01-11,22,50.55
"7563",2014-01-11,23,53.1
"12",2014-01-12,0,54
"341",2014-01-12,1,52
"672",2014-01-12,2,49.45
"1001",2014-01-12,3,46.9
"1331",2014-01-12,4,46
"1657",2014-01-12,5,44.1
"1985",2014-01-12,6,43
"2313",2014-01-12,7,42.1
"2641",2014-01-12,8,43
"2970",2014-01-12,9,44.1
"3299",2014-01-12,10,45
"3625",2014-01-12,11,46.9
"3951",2014-01-12,12,45
"4278",2014-01-12,13,45
"4606",2014-01-12,14,45
"4934",2014-01-12,15,44.1
"5264",2014-01-12,16,43
"5592",2014-01-12,17,42.1
"5922",2014-01-12,18,41
"6250",2014-01-12,19,39.9
"6581",2014-01-12,20,39.9
"6912",2014-01-12,21,39.9
"7240",2014-01-12,22,37.9
"7564",2014-01-12,23,37.9
"13",2014-01-13,0,37
"342",2014-01-13,1,37
"673",2014-01-13,2,37
"1002",2014-01-13,3,34
"1332",2014-01-13,4,33.1
"1658",2014-01-13,5,30.9
"1986",2014-01-13,6,30.9
"2314",2014-01-13,7,33.1
"2642",2014-01-13,8,37
"2971",2014-01-13,9,41
"3300",2014-01-13,10,44.1
"3626",2014-01-13,11,46.9
"3952",2014-01-13,12,50
"4279",2014-01-13,13,48.9
"4607",2014-01-13,14,48.9
"4935",2014-01-13,15,46.9
"5265",2014-01-13,16,45
"5593",2014-01-13,17,46
"5923",2014-01-13,18,45
"6251",2014-01-13,19,45
"6582",2014-01-13,20,44.1
"6913",2014-01-13,21,46.9
"7241",2014-01-13,22,46.9
"7565",2014-01-13,23,48
"14",2014-01-14,0,48.9
"343",2014-01-14,1,48
"674",2014-01-14,2,48
"1003",2014-01-14,3,46.9
"1333",2014-01-14,4,45
"1659",2014-01-14,5,44.1
"1987",2014-01-14,6,46.9
"2315",2014-01-14,7,48
"2643",2014-01-14,8,46.9
"2972",2014-01-14,9,46.9
"3301",2014-01-14,10,48
"3627",2014-01-14,11,48
"3953",2014-01-14,12,48.55
"4280",2014-01-14,13,47.875
"4608",2014-01-14,14,46.5
"4936",2014-01-14,15,47.1666666666667
"5266",2014-01-14,16,46.65
"5594",2014-01-14,17,45.7
"5924",2014-01-14,18,47.5333333333333
"6252",2014-01-14,19,46.9
"6583",2014-01-14,20,46.2666666666667
"6914",2014-01-14,21,45.7
"7242",2014-01-14,22,44.8
"7566",2014-01-14,23,44.35
"15",2014-01-15,0,43
"344",2014-01-15,1,43
"675",2014-01-15,2,42.1
"1004",2014-01-15,3,41
"1334",2014-01-15,4,39
"1660",2014-01-15,5,37
"1988",2014-01-15,6,36
"2316",2014-01-15,7,37
"2644",2014-01-15,8,39
"2973",2014-01-15,9,42.1
"3302",2014-01-15,10,44.1
"3628",2014-01-15,11,46
"3954",2014-01-15,12,46
"4281",2014-01-15,13,46.9
"4609",2014-01-15,14,46
"4937",2014-01-15,15,44.1
"5267",2014-01-15,16,42.1
"5595",2014-01-15,17,39.9
"5925",2014-01-15,18,39.9
"6253",2014-01-15,19,42.1
"6584",2014-01-15,20,39
"6915",2014-01-15,21,37.9
"7243",2014-01-15,22,39
"7567",2014-01-15,23,36.75
"16",2014-01-16,0,36
"345",2014-01-16,1,35.025
"676",2014-01-16,2,35.35
"1005",2014-01-16,3,36
"1335",2014-01-16,4,33.9
"1661",2014-01-16,5,33.5666666666667
"1989",2014-01-16,6,35.0666666666667
"2317",2014-01-16,7,33.8666666666667
"2645",2014-01-16,8,35.35
"2974",2014-01-16,9,37.2666666666667
"3303",2014-01-16,10,39
"3629",2014-01-16,11,37.9
"3955",2014-01-16,12,37.3
"4282",2014-01-16,13,37.65
"4610",2014-01-16,14,39
"4938",2014-01-16,15,37.65
"5268",2014-01-16,16,37.975
"5596",2014-01-16,17,37.9
"5926",2014-01-16,18,37.65
"6254",2014-01-16,19,37.9
"6585",2014-01-16,20,37.3
"6916",2014-01-16,21,37.9
"7244",2014-01-16,22,37.65
"7568",2014-01-16,23,37.9
"17",2014-01-17,0,37
"346",2014-01-17,1,37.3
"677",2014-01-17,2,37
"1006",2014-01-17,3,37.2666666666667
"1336",2014-01-17,4,37.2666666666667
"1662",2014-01-17,5,37.2666666666667
"1990",2014-01-17,6,36
"2318",2014-01-17,7,35.6
"2646",2014-01-17,8,37.9
"2975",2014-01-17,9,39
"3304",2014-01-17,10,39.9
"3630",2014-01-17,11,42.1
"3956",2014-01-17,12,44.1
"4283",2014-01-17,13,45
"4611",2014-01-17,14,45
"4939",2014-01-17,15,44.1
"5269",2014-01-17,16,42.1
"5597",2014-01-17,17,39
"5927",2014-01-17,18,37.9
"6255",2014-01-17,19,36
"6586",2014-01-17,20,34
"6917",2014-01-17,21,35.1
"7245",2014-01-17,22,34
"7569",2014-01-17,23,34
"18",2014-01-18,0,34
"347",2014-01-18,1,34
"678",2014-01-18,2,35.1
"1007",2014-01-18,3,35.1
"1337",2014-01-18,4,36
"1663",2014-01-18,5,35.8
"1991",2014-01-18,6,36
"2319",2014-01-18,7,37.2
"2647",2014-01-18,8,37.65
"2976",2014-01-18,9,37.9
"3305",2014-01-18,10,37.2666666666667
"3631",2014-01-18,11,37.2666666666667
"3957",2014-01-18,12,35.4333333333333
"4284",2014-01-18,13,33.5666666666667
"4612",2014-01-18,14,33.1
"4940",2014-01-18,15,33.9
"5270",2014-01-18,16,34
"5598",2014-01-18,17,33.1
"5928",2014-01-18,18,34
"6256",2014-01-18,19,34
"6587",2014-01-18,20,34
"6918",2014-01-18,21,33.9
"7246",2014-01-18,22,33.1
"7570",2014-01-18,23,33.5666666666667
"19",2014-01-19,0,33.45
"348",2014-01-19,1,33.1
"679",2014-01-19,2,33.45
"1008",2014-01-19,3,33.1
"1338",2014-01-19,4,33.5666666666667
"1664",2014-01-19,5,33.1
"1992",2014-01-19,6,32
"2320",2014-01-19,7,31.45
"2648",2014-01-19,8,30.15
"2977",2014-01-19,9,30.1333333333333
"3306",2014-01-19,10,30.55
"3632",2014-01-19,11,30.55
"3958",2014-01-19,12,32
"4285",2014-01-19,13,33.1
"4613",2014-01-19,14,34
"4941",2014-01-19,15,34
"5271",2014-01-19,16,34
"5599",2014-01-19,17,33.1
"5929",2014-01-19,18,32
"6257",2014-01-19,19,30.9
"6588",2014-01-19,20,30.9
"6919",2014-01-19,21,30.9
"7247",2014-01-19,22,30.9
"7571",2014-01-19,23,30.9
"20",2014-01-20,0,30.9
"349",2014-01-20,1,32
"680",2014-01-20,2,32
"1009",2014-01-20,3,33.1
"1339",2014-01-20,4,33.1
"1665",2014-01-20,5,33.1
"1993",2014-01-20,6,34
"2321",2014-01-20,7,34
"2649",2014-01-20,8,35.1
"2978",2014-01-20,9,36
"3307",2014-01-20,10,37
"3633",2014-01-20,11,37.9
"3959",2014-01-20,12,39
"4286",2014-01-20,13,39.9
"4614",2014-01-20,14,41
"4942",2014-01-20,15,41
"5272",2014-01-20,16,39.9
"5600",2014-01-20,17,39.9
"5930",2014-01-20,18,36
"6258",2014-01-20,19,36
"6589",2014-01-20,20,35.1
"6920",2014-01-20,21,32
"7248",2014-01-20,22,28.9
"7572",2014-01-20,23,27
"21",2014-01-21,0,23
"350",2014-01-21,1,21.9
"681",2014-01-21,2,19.9
"1010",2014-01-21,3,18
"1340",2014-01-21,4,16
"1666",2014-01-21,5,15.1
"1994",2014-01-21,6,14
"2322",2014-01-21,7,12.9
"2650",2014-01-21,8,14
"2979",2014-01-21,9,15.1
"3308",2014-01-21,10,15.1
"3634",2014-01-21,11,15.1
"3960",2014-01-21,12,16
"4287",2014-01-21,13,16
"4615",2014-01-21,14,16
"4943",2014-01-21,15,15.1
"5273",2014-01-21,16,12.825
"5601",2014-01-21,17,12.15
"5931",2014-01-21,18,12.1
"6259",2014-01-21,19,12.15
"6590",2014-01-21,20,12.1
"6921",2014-01-21,21,12
"7249",2014-01-21,22,12
"7573",2014-01-21,23,11.55
"22",2014-01-22,0,10.9
"351",2014-01-22,1,10.9
"682",2014-01-22,2,10.65
"1011",2014-01-22,3,9.7
"1341",2014-01-22,4,8.8
"1667",2014-01-22,5,8.8
"1995",2014-01-22,6,8.35
"2323",2014-01-22,7,6.9
"2651",2014-01-22,8,7.45
"2980",2014-01-22,9,9
"3309",2014-01-22,10,10.9
"3635",2014-01-22,11,10.9
"3961",2014-01-22,12,14
"4288",2014-01-22,13,16
"4616",2014-01-22,14,17.1
"4944",2014-01-22,15,17.1
"5274",2014-01-22,16,17.1
"5602",2014-01-22,17,16
"5932",2014-01-22,18,15.1
"6260",2014-01-22,19,12.9
"6591",2014-01-22,20,12
"6922",2014-01-22,21,10.9
"7250",2014-01-22,22,10
"7574",2014-01-22,23,9
"23",2014-01-23,0,8.1
"352",2014-01-23,1,7
"683",2014-01-23,2,7
"1012",2014-01-23,3,7
"1342",2014-01-23,4,7
"1668",2014-01-23,5,6.1
"1996",2014-01-23,6,6.1
"2324",2014-01-23,7,7
"2652",2014-01-23,8,9
"2981",2014-01-23,9,10.9
"3310",2014-01-23,10,14
"3636",2014-01-23,11,18
"3962",2014-01-23,12,19.9
"4289",2014-01-23,13,21
"4617",2014-01-23,14,21.9
"4945",2014-01-23,15,21
"5275",2014-01-23,16,19.9
"5603",2014-01-23,17,18
"5933",2014-01-23,18,16
"6261",2014-01-23,19,15.1
"6592",2014-01-23,20,14
"6923",2014-01-23,21,14
"7251",2014-01-23,22,12.9
"7575",2014-01-23,23,12.9
"24",2014-01-24,0,12
"353",2014-01-24,1,12
"684",2014-01-24,2,10.9
"1013",2014-01-24,3,10
"1343",2014-01-24,4,9
"1669",2014-01-24,5,8.1
"1997",2014-01-24,6,8.1
"2325",2014-01-24,7,8.1
"2653",2014-01-24,8,9
"2982",2014-01-24,9,10
"3311",2014-01-24,10,10.9
"3637",2014-01-24,11,14
"3963",2014-01-24,12,16
"4290",2014-01-24,13,17.1
"4618",2014-01-24,14,18
"4946",2014-01-24,15,17.1
"5276",2014-01-24,16,16
"5604",2014-01-24,17,16
"5934",2014-01-24,18,16
"6262",2014-01-24,19,14
"6593",2014-01-24,20,15.1
"6924",2014-01-24,21,15.1
"7252",2014-01-24,22,15.1
"7576",2014-01-24,23,15.1
"25",2014-01-25,0,15.1
"354",2014-01-25,1,16
"685",2014-01-25,2,16
"1014",2014-01-25,3,17.1
"1344",2014-01-25,4,18
"1670",2014-01-25,5,19.9
"1998",2014-01-25,6,21
"2326",2014-01-25,7,21.9
"2654",2014-01-25,8,24.1
"2983",2014-01-25,9,28
"3312",2014-01-25,10,36
"3638",2014-01-25,11,37
"3964",2014-01-25,12,37
"4291",2014-01-25,13,37.9
"4619",2014-01-25,14,37
"4947",2014-01-25,15,37
"5277",2014-01-25,16,37
"5605",2014-01-25,17,36
"5935",2014-01-25,18,32
"6263",2014-01-25,19,30.375
"6594",2014-01-25,20,28.9
"6925",2014-01-25,21,28
"7253",2014-01-25,22,27
"7577",2014-01-25,23,26.1
"26",2014-01-26,0,25
"355",2014-01-26,1,24.1
"686",2014-01-26,2,24.1
"1015",2014-01-26,3,23
"1345",2014-01-26,4,21
"1671",2014-01-26,5,18
"1999",2014-01-26,6,17.1
"2327",2014-01-26,7,16
"2655",2014-01-26,8,16
"2984",2014-01-26,9,17.1
"3313",2014-01-26,10,17.1
"3639",2014-01-26,11,19
"3965",2014-01-26,12,19
"4292",2014-01-26,13,19.9
"4620",2014-01-26,14,19.9
"4948",2014-01-26,15,19.9
"5278",2014-01-26,16,19.9
"5606",2014-01-26,17,19.9
"5936",2014-01-26,18,19.9
"6264",2014-01-26,19,19.9
"6595",2014-01-26,20,19.9
"6926",2014-01-26,21,21
"7254",2014-01-26,22,21
"7578",2014-01-26,23,21.9
"27",2014-01-27,0,23
"356",2014-01-27,1,24.1
"687",2014-01-27,2,24.1
"1016",2014-01-27,3,24.1
"1346",2014-01-27,4,25
"1672",2014-01-27,5,27
"2000",2014-01-27,6,30.9
"2328",2014-01-27,7,37.9
"2656",2014-01-27,8,45
"2985",2014-01-27,9,46
"3314",2014-01-27,10,45
"3640",2014-01-27,11,45
"3966",2014-01-27,12,45
"4293",2014-01-27,13,45
"4621",2014-01-27,14,39
"4949",2014-01-27,15,37
"5279",2014-01-27,16,30.9
"5607",2014-01-27,17,28.9
"5937",2014-01-27,18,27
"6265",2014-01-27,19,26.1
"6596",2014-01-27,20,25
"6927",2014-01-27,21,24.1
"7255",2014-01-27,22,21.9
"7579",2014-01-27,23,21
"28",2014-01-28,0,19.9
"357",2014-01-28,1,19
"688",2014-01-28,2,18
"1017",2014-01-28,3,16
"1347",2014-01-28,4,14
"1673",2014-01-28,5,12.9
"2001",2014-01-28,6,12.9
"2329",2014-01-28,7,14
"2657",2014-01-28,8,15.1
"2986",2014-01-28,9,16
"3315",2014-01-28,10,17.1
"3641",2014-01-28,11,17.1
"3967",2014-01-28,12,18
"4294",2014-01-28,13,18
"4622",2014-01-28,14,19
"4950",2014-01-28,15,19
"5280",2014-01-28,16,19
"5608",2014-01-28,17,18
"5938",2014-01-28,18,18
"6266",2014-01-28,19,18
"6597",2014-01-28,20,18
"6928",2014-01-28,21,18
"7256",2014-01-28,22,18
"7580",2014-01-28,23,18
"29",2014-01-29,0,18
"358",2014-01-29,1,18
"689",2014-01-29,2,18
"1018",2014-01-29,3,18
"1348",2014-01-29,4,16
"1674",2014-01-29,5,15.1
"2002",2014-01-29,6,15.1
"2330",2014-01-29,7,16
"2658",2014-01-29,8,15.8666666666667
"2987",2014-01-29,9,17.1
"3316",2014-01-29,10,19.9
"3642",2014-01-29,11,21.9
"3968",2014-01-29,12,25
"4295",2014-01-29,13,26.1
"4623",2014-01-29,14,26.1
"4951",2014-01-29,15,26.1
"5281",2014-01-29,16,24.1
"5609",2014-01-29,17,24.1
"5939",2014-01-29,18,24.1
"6267",2014-01-29,19,23
"6598",2014-01-29,20,21.9
"6929",2014-01-29,21,21
"7257",2014-01-29,22,19.9
"7581",2014-01-29,23,19
"30",2014-01-30,0,19
"359",2014-01-30,1,18
"690",2014-01-30,2,18
"1019",2014-01-30,3,17.1
"1349",2014-01-30,4,17.1
"1675",2014-01-30,5,17.1
"2003",2014-01-30,6,17.1
"2331",2014-01-30,7,18
"2659",2014-01-30,8,19.9
"2988",2014-01-30,9,21.9
"3317",2014-01-30,10,25
"3643",2014-01-30,11,27
"3969",2014-01-30,12,28
"4296",2014-01-30,13,28.9
"4624",2014-01-30,14,30
"4952",2014-01-30,15,30
"5282",2014-01-30,16,27
"5610",2014-01-30,17,26.1
"5940",2014-01-30,18,24.1
"6268",2014-01-30,19,23
"6599",2014-01-30,20,21.9
"6930",2014-01-30,21,21.9
"7258",2014-01-30,22,21
"7582",2014-01-30,23,21.9
"31",2014-01-31,0,21.9
"360",2014-01-31,1,23
"691",2014-01-31,2,24.1
"1020",2014-01-31,3,24.9
"1350",2014-01-31,4,26.1
"1676",2014-01-31,5,27.3
"2004",2014-01-31,6,27
"2332",2014-01-31,7,30.9
"2660",2014-01-31,8,32
"2989",2014-01-31,9,34
"3318",2014-01-31,10,37
"3644",2014-01-31,11,37
"3970",2014-01-31,12,39
"4297",2014-01-31,13,42.1
"4625",2014-01-31,14,41
"4953",2014-01-31,15,41
"5283",2014-01-31,16,39
"5611",2014-01-31,17,39
"5941",2014-01-31,18,39
"6269",2014-01-31,19,39
"6600",2014-01-31,20,37.9
"6931",2014-01-31,21,37.9
"7259",2014-01-31,22,37.9
"7583",2014-01-31,23,37
"32",2014-02-01,0,37
"361",2014-02-01,1,36
"692",2014-02-01,2,36
"1021",2014-02-01,3,36
"1351",2014-02-01,4,35.1
"1677",2014-02-01,5,35.1
"2005",2014-02-01,6,35.1
"2333",2014-02-01,7,36
"2661",2014-02-01,8,37.9
"2990",2014-02-01,9,41
"3319",2014-02-01,10,39
"3645",2014-02-01,11,41
"3971",2014-02-01,12,42.1
"4298",2014-02-01,13,39
"4626",2014-02-01,14,37.9
"4954",2014-02-01,15,37
"5284",2014-02-01,16,41
"5612",2014-02-01,17,39
"5942",2014-02-01,18,37
"6270",2014-02-01,19,36
"6601",2014-02-01,20,33.1
"6932",2014-02-01,21,35.1
"7260",2014-02-01,22,34
"7584",2014-02-01,23,33.1
"33",2014-02-02,0,32
"362",2014-02-02,1,33.45
"693",2014-02-02,2,32
"1022",2014-02-02,3,33
"1352",2014-02-02,4,34
"1678",2014-02-02,5,33.9
"2006",2014-02-02,6,33.1
"2334",2014-02-02,7,35.1
"2662",2014-02-02,8,41
"2991",2014-02-02,9,45
"3320",2014-02-02,10,50
"3646",2014-02-02,11,52
"3972",2014-02-02,12,55
"4299",2014-02-02,13,53.1
"4627",2014-02-02,14,50
"4955",2014-02-02,15,46.9
"5285",2014-02-02,16,46
"5613",2014-02-02,17,46
"5943",2014-02-02,18,45
"6271",2014-02-02,19,44.1
"6602",2014-02-02,20,43
"6933",2014-02-02,21,42.1
"7261",2014-02-02,22,42.1
"7585",2014-02-02,23,41
"34",2014-02-03,0,39.9
"363",2014-02-03,1,39.9
"694",2014-02-03,2,39
"1023",2014-02-03,3,37.9
"1353",2014-02-03,4,37
"1679",2014-02-03,5,36
"2007",2014-02-03,6,35.1
"2335",2014-02-03,7,34
"2663",2014-02-03,8,35.1
"2992",2014-02-03,9,35.1
"3321",2014-02-03,10,33.35
"3647",2014-02-03,11,30.4333333333333
"3973",2014-02-03,12,30.9
"4300",2014-02-03,13,30.1
"4628",2014-02-03,14,30.1333333333333
"4956",2014-02-03,15,30.15
"5286",2014-02-03,16,30.15
"5614",2014-02-03,17,30.1333333333333
"5944",2014-02-03,18,28.65
"6272",2014-02-03,19,30
"6603",2014-02-03,20,30
"6934",2014-02-03,21,28.9
"7262",2014-02-03,22,28
"7586",2014-02-03,23,27
"35",2014-02-04,0,27
"364",2014-02-04,1,26.1
"695",2014-02-04,2,26.1
"1024",2014-02-04,3,25
"1354",2014-02-04,4,24.1
"1680",2014-02-04,5,23
"2008",2014-02-04,6,24.1
"2336",2014-02-04,7,24.1
"2664",2014-02-04,8,27
"2993",2014-02-04,9,28.9
"3322",2014-02-04,10,30.9
"3648",2014-02-04,11,33.1
"3974",2014-02-04,12,33.1
"4301",2014-02-04,13,32
"4629",2014-02-04,14,34
"4957",2014-02-04,15,34
"5287",2014-02-04,16,33.1
"5615",2014-02-04,17,33.1
"5945",2014-02-04,18,30.9
"6273",2014-02-04,19,30.9
"6604",2014-02-04,20,30.9
"6935",2014-02-04,21,30.9
"7263",2014-02-04,22,30
"7587",2014-02-04,23,28.9
"36",2014-02-05,0,28.9
"365",2014-02-05,1,28.9
"696",2014-02-05,2,30
"1025",2014-02-05,3,30
"1355",2014-02-05,4,30.9
"1681",2014-02-05,5,29.875
"2009",2014-02-05,6,28.5666666666667
"2337",2014-02-05,7,28.525
"2665",2014-02-05,8,29.2
"2994",2014-02-05,9,29.62
"3323",2014-02-05,10,32
"3649",2014-02-05,11,32
"3975",2014-02-05,12,33.1
"4302",2014-02-05,13,33.175
"4630",2014-02-05,14,33.45
"4958",2014-02-05,15,33.5666666666667
"5288",2014-02-05,16,32
"5616",2014-02-05,17,27
"5946",2014-02-05,18,26.4333333333333
"6274",2014-02-05,19,26.4333333333333
"6605",2014-02-05,20,25
