"Global Wind Energy Forecasting"
"
"
"Logistic Regression"
"1" "RMS" "0.173800019410756"
"2" "MAE" "0.134119414288033"
"3" "MAPE" "193.857101513402"
"
"
"Decision Tree"
"RMS" "0.189456549192582"
"MAE" "0.145069094568582"
"MAPE" "228.30202357159"
"
"
"Neural Network"
"RMS" "0.16153478684644"
"MAE" "0.119645453450451"
"MAPE" "Inf"
