"","Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"1",999999999,"1/1/2014",78.405,1,1,2014,0,3,1,0,23
"2",999999999,"1/1/2014",76.425,1,1,2014,1,3,1,0,21.9
"3",999999999,"1/1/2014",223.394993,1,1,2014,10,3,1,1,26.1
"4",999999999,"1/1/2014",215.039996,1,1,2014,11,3,1,1,26.1
"5",999999999,"1/1/2014",210.675,1,1,2014,12,3,1,1,27
"6",999999999,"1/1/2014",196.049998,1,1,2014,13,3,1,1,28
"7",999999999,"1/1/2014",196.559993,1,1,2014,14,3,1,1,27
"8",999999999,"1/1/2014",151.829996,1,1,2014,15,3,1,1,27
"9",999999999,"1/1/2014",103.739998,1,1,2014,16,3,1,1,26.1
"10",999999999,"1/1/2014",99.584999,1,1,2014,17,3,1,1,25
"11",999999999,"1/1/2014",97.589998,1,1,2014,18,3,1,1,24.1
"12",999999999,"1/1/2014",91.47,1,1,2014,19,3,1,1,24.1
"13",999999999,"1/1/2014",78.015,1,1,2014,2,3,1,0,21.9
"14",999999999,"1/1/2014",93.6,1,1,2014,20,3,1,0,23
"15",999999999,"1/1/2014",79.35,1,1,2014,21,3,1,0,21.9
"16",999999999,"1/1/2014",76.44,1,1,2014,22,3,1,0,23
"17",999999999,"1/1/2014",72.84,1,1,2014,23,3,1,0,23
"19",999999999,"1/1/2014",78.12,1,1,2014,3,3,1,0,21.9
"20",999999999,"1/1/2014",77.535,1,1,2014,4,3,1,0,21
"21",999999999,"1/1/2014",104.099999,1,1,2014,5,3,1,0,21
"22",999999999,"1/1/2014",158.264998,1,1,2014,6,3,1,1,21
"23",999999999,"1/1/2014",249.164995,1,1,2014,7,3,1,1,19.9
"24",999999999,"1/1/2014",240.524994,1,1,2014,8,3,1,1,23
"25",999999999,"1/1/2014",224.069994,1,1,2014,9,3,1,1,24.1
"28",999999999,"1/10/2014",115.29,1,10,2014,10,5,1,1,27.06666667
"29",999999999,"1/10/2014",95.64,1,10,2014,11,5,1,1,29.2
"30",999999999,"1/10/2014",92.31,1,10,2014,12,5,1,1,30.9
"31",999999999,"1/10/2014",70.065,1,10,2014,13,5,1,1,32
"32",999999999,"1/10/2014",37.905,1,10,2014,14,5,1,1,32
"33",999999999,"1/10/2014",13.455,1,10,2014,15,5,1,1,32
"47",999999999,"1/10/2014",20.145,1,10,2014,6,5,1,1,24.1
"48",999999999,"1/10/2014",93.044999,1,10,2014,7,5,1,1,23.45
"49",999999999,"1/10/2014",126.479999,1,10,2014,8,5,1,1,24.56666667
"50",999999999,"1/10/2014",125.699994,1,10,2014,9,5,1,1,26.73333333
"103",999999999,"1/13/2014",128.474997,1,13,2014,10,1,1,1,44.1
"104",999999999,"1/13/2014",102.284999,1,13,2014,11,1,1,1,46.9
"105",999999999,"1/13/2014",95.234999,1,13,2014,12,1,1,1,50
"106",999999999,"1/13/2014",85.89,1,13,2014,13,1,1,1,48.9
"107",999999999,"1/13/2014",73.815,1,13,2014,14,1,1,1,48.9
"108",999999999,"1/13/2014",31.14,1,13,2014,15,1,1,1,46.9
"109",999999999,"1/13/2014",0.045,1,13,2014,16,1,1,1,45
"122",999999999,"1/13/2014",22.905,1,13,2014,6,1,1,1,30.9
"123",999999999,"1/13/2014",104.789997,1,13,2014,7,1,1,1,33.1
"124",999999999,"1/13/2014",135.419997,1,13,2014,8,1,1,1,37
"125",999999999,"1/13/2014",128.789997,1,13,2014,9,1,1,1,41
"128",999999999,"1/14/2014",91.979999,1,14,2014,10,2,1,1,48
"129",999999999,"1/14/2014",81.765,1,14,2014,11,2,1,1,48
"130",999999999,"1/14/2014",63.36,1,14,2014,12,2,1,1,48.55
"131",999999999,"1/14/2014",63.27,1,14,2014,13,2,1,1,47.875
"132",999999999,"1/14/2014",53.355,1,14,2014,14,2,1,1,46.5
"133",999999999,"1/14/2014",23.655,1,14,2014,15,2,1,1,47.16666667
"134",999999999,"1/14/2014",0.24,1,14,2014,16,2,1,1,46.65
"148",999999999,"1/14/2014",81.629998,1,14,2014,7,2,1,1,48
"149",999999999,"1/14/2014",101.039993,1,14,2014,8,2,1,1,46.9
"150",999999999,"1/14/2014",92.205,1,14,2014,9,2,1,1,46.9
"153",999999999,"1/15/2014",109.274998,1,15,2014,10,3,1,1,44.1
"154",999999999,"1/15/2014",79.74,1,15,2014,11,3,1,1,46
"155",999999999,"1/15/2014",68.895,1,15,2014,12,3,1,1,46
"156",999999999,"1/15/2014",59.325,1,15,2014,13,3,1,1,46.9
"157",999999999,"1/15/2014",49.245,1,15,2014,14,3,1,1,46
"158",999999999,"1/15/2014",18.33,1,15,2014,15,3,1,1,44.1
"172",999999999,"1/15/2014",6.975,1,15,2014,6,3,1,1,36
"173",999999999,"1/15/2014",59.565,1,15,2014,7,3,1,1,37
"174",999999999,"1/15/2014",89.114999,1,15,2014,8,3,1,1,39
"175",999999999,"1/15/2014",95.624999,1,15,2014,9,3,1,1,42.1
"178",999999999,"1/16/2014",99.914999,1,16,2014,10,4,1,1,39
"179",999999999,"1/16/2014",66.48,1,16,2014,11,4,1,1,37.9
"180",999999999,"1/16/2014",66.27,1,16,2014,12,4,1,1,37.3
"181",999999999,"1/16/2014",57.285,1,16,2014,13,4,1,1,37.65
"182",999999999,"1/16/2014",50.31,1,16,2014,14,4,1,1,39
"183",999999999,"1/16/2014",23.4,1,16,2014,15,4,1,1,37.65
"197",999999999,"1/16/2014",4.365,1,16,2014,6,4,1,1,35.06666667
"198",999999999,"1/16/2014",88.934999,1,16,2014,7,4,1,1,33.86666667
"199",999999999,"1/16/2014",92.22,1,16,2014,8,4,1,1,35.35
"200",999999999,"1/16/2014",96.779999,1,16,2014,9,4,1,1,37.26666667
"203",999999999,"1/17/2014",94.589998,1,17,2014,10,5,1,1,39.9
"204",999999999,"1/17/2014",72.78,1,17,2014,11,5,1,1,42.1
"205",999999999,"1/17/2014",66.015,1,17,2014,12,5,1,1,44.1
"206",999999999,"1/17/2014",63,1,17,2014,13,5,1,1,45
"207",999999999,"1/17/2014",49.74,1,17,2014,14,5,1,1,45
"208",999999999,"1/17/2014",17.13,1,17,2014,15,5,1,1,44.1
"222",999999999,"1/17/2014",9.075,1,17,2014,6,5,1,1,36
"223",999999999,"1/17/2014",81.524998,1,17,2014,7,5,1,1,35.6
"224",999999999,"1/17/2014",106.109999,1,17,2014,8,5,1,1,37.9
"225",999999999,"1/17/2014",95.474998,1,17,2014,9,5,1,1,39
"276",999999999,"1/2/2014",78.66,1,2,2014,0,4,1,0,21
"277",999999999,"1/2/2014",77.385,1,2,2014,1,4,1,0,20.16666667
"278",999999999,"1/2/2014",80.82,1,2,2014,10,4,1,1,25.8
"279",999999999,"1/2/2014",33.45,1,2,2014,11,4,1,1,24.56666667
"280",999999999,"1/2/2014",24.825,1,2,2014,12,4,1,1,24.1
"281",999999999,"1/2/2014",28.995,1,2,2014,13,4,1,1,25.83333333
"282",999999999,"1/2/2014",20.775,1,2,2014,14,4,1,1,19.9
"283",999999999,"1/2/2014",6,1,2,2014,15,4,1,1,13.95
"288",999999999,"1/2/2014",79.485,1,2,2014,2,4,1,0,19.2
"294",999999999,"1/2/2014",83.685,1,2,2014,3,4,1,0,19.2
"295",999999999,"1/2/2014",162.194999,1,2,2014,4,4,1,0,19.2
"296",999999999,"1/2/2014",170.474997,1,2,2014,5,4,1,0,19.26666667
"297",999999999,"1/2/2014",205.874997,1,2,2014,6,4,1,1,19.26666667
"303",999999999,"1/20/2014",67.44,1,20,2014,10,1,1,1,37
"304",999999999,"1/20/2014",47.685,1,20,2014,11,1,1,1,37.9
"305",999999999,"1/20/2014",40.86,1,20,2014,12,1,1,1,39
"306",999999999,"1/20/2014",24.825,1,20,2014,13,1,1,1,39.9
"307",999999999,"1/20/2014",15.3,1,20,2014,14,1,1,1,41
"308",999999999,"1/20/2014",8.19,1,20,2014,15,1,1,1,41
"322",999999999,"1/20/2014",10.695,1,20,2014,6,1,1,1,34
"323",999999999,"1/20/2014",62.31,1,20,2014,7,1,1,1,34
"324",999999999,"1/20/2014",65.535,1,20,2014,8,1,1,1,35.1
"325",999999999,"1/20/2014",67.185,1,20,2014,9,1,1,1,36
"328",999999999,"1/21/2014",97.994998,1,21,2014,10,2,1,1,15.1
"329",999999999,"1/21/2014",91.44,1,21,2014,11,2,1,1,15.1
"330",999999999,"1/21/2014",90.539999,1,21,2014,12,2,1,1,16
"331",999999999,"1/21/2014",83.25,1,21,2014,13,2,1,1,16
"332",999999999,"1/21/2014",77.805,1,21,2014,14,2,1,1,16
"333",999999999,"1/21/2014",38.76,1,21,2014,15,2,1,1,15.1
"334",999999999,"1/21/2014",0.045,1,21,2014,16,2,1,1,12.825
"347",999999999,"1/21/2014",21.75,1,21,2014,6,2,1,1,14
"348",999999999,"1/21/2014",120.674998,1,21,2014,7,2,1,1,12.9
"349",999999999,"1/21/2014",131.549999,1,21,2014,8,2,1,1,14
"350",999999999,"1/21/2014",138.224997,1,21,2014,9,2,1,1,15.1
"353",999999999,"1/22/2014",52.32,1,22,2014,10,3,1,1,10.9
"354",999999999,"1/22/2014",45.39,1,22,2014,11,3,1,1,10.9
"355",999999999,"1/22/2014",38.865,1,22,2014,12,3,1,1,14
"356",999999999,"1/22/2014",38.16,1,22,2014,13,3,1,1,16
"357",999999999,"1/22/2014",37.77,1,22,2014,14,3,1,1,17.1
"358",999999999,"1/22/2014",19.935,1,22,2014,15,3,1,1,17.1
"372",999999999,"1/22/2014",12.465,1,22,2014,6,3,1,1,8.35
"373",999999999,"1/22/2014",59.16,1,22,2014,7,3,1,1,6.9
"374",999999999,"1/22/2014",60.555,1,22,2014,8,3,1,1,7.45
"375",999999999,"1/22/2014",52.785,1,22,2014,9,3,1,1,9
"378",999999999,"1/23/2014",141.599999,1,23,2014,10,4,1,1,14
"379",999999999,"1/23/2014",100.589999,1,23,2014,11,4,1,1,18
"380",999999999,"1/23/2014",85.2,1,23,2014,12,4,1,1,19.9
"381",999999999,"1/23/2014",64.095,1,23,2014,13,4,1,1,21
"382",999999999,"1/23/2014",36.63,1,23,2014,14,4,1,1,21.9
"383",999999999,"1/23/2014",13.38,1,23,2014,15,4,1,1,21
"397",999999999,"1/23/2014",16.71,1,23,2014,6,4,1,1,6.1
"398",999999999,"1/23/2014",95.744999,1,23,2014,7,4,1,1,7
"399",999999999,"1/23/2014",128.549997,1,23,2014,8,4,1,1,9
"400",999999999,"1/23/2014",133.049997,1,23,2014,9,4,1,1,10.9
"403",999999999,"1/24/2014",146.309996,1,24,2014,10,5,1,1,10.9
"404",999999999,"1/24/2014",137.429998,1,24,2014,11,5,1,1,14
"405",999999999,"1/24/2014",101.205,1,24,2014,12,5,1,1,16
"406",999999999,"1/24/2014",80.34,1,24,2014,13,5,1,1,17.1
"407",999999999,"1/24/2014",66.27,1,24,2014,14,5,1,1,18
"408",999999999,"1/24/2014",39.825,1,24,2014,15,5,1,1,17.1
"409",999999999,"1/24/2014",11.445,1,24,2014,16,5,1,1,16
"410",999999999,"1/24/2014",12.69,1,24,2014,17,5,1,1,16
"411",999999999,"1/24/2014",14.535,1,24,2014,18,5,1,1,16
"412",999999999,"1/24/2014",12.855,1,24,2014,19,5,1,1,14
"414",999999999,"1/24/2014",9.9,1,24,2014,20,5,1,0,15.1
"415",999999999,"1/24/2014",2.505,1,24,2014,21,5,1,0,15.1
"416",999999999,"1/24/2014",0.45,1,24,2014,22,5,1,0,15.1
"422",999999999,"1/24/2014",18.33,1,24,2014,6,5,1,1,8.1
"423",999999999,"1/24/2014",101.654998,1,24,2014,7,5,1,1,8.1
"424",999999999,"1/24/2014",122.114998,1,24,2014,8,5,1,1,9
"425",999999999,"1/24/2014",131.249998,1,24,2014,9,5,1,1,10
"478",999999999,"1/27/2014",120.779994,1,27,2014,10,1,1,1,45
"479",999999999,"1/27/2014",80.28,1,27,2014,11,1,1,1,45
"480",999999999,"1/27/2014",58.035,1,27,2014,12,1,1,1,45
"481",999999999,"1/27/2014",54.87,1,27,2014,13,1,1,1,45
"482",999999999,"1/27/2014",41.25,1,27,2014,14,1,1,1,39
"483",999999999,"1/27/2014",12.93,1,27,2014,15,1,1,1,37
"497",999999999,"1/27/2014",3.99,1,27,2014,6,1,1,1,30.9
"498",999999999,"1/27/2014",92.819997,1,27,2014,7,1,1,1,37.9
"499",999999999,"1/27/2014",135.179999,1,27,2014,8,1,1,1,45
"500",999999999,"1/27/2014",144.524997,1,27,2014,9,1,1,1,46
"503",999999999,"1/28/2014",100.634999,1,28,2014,10,2,1,1,17.1
"504",999999999,"1/28/2014",99.194995,1,28,2014,11,2,1,1,17.1
"505",999999999,"1/28/2014",83.265,1,28,2014,12,2,1,1,18
"506",999999999,"1/28/2014",81.645,1,28,2014,13,2,1,1,18
"507",999999999,"1/28/2014",75.15,1,28,2014,14,2,1,1,19
"508",999999999,"1/28/2014",38.58,1,28,2014,15,2,1,1,19
"521",999999999,"1/28/2014",0.045,1,28,2014,5,2,1,0,12.9
"522",999999999,"1/28/2014",12.465,1,28,2014,6,2,1,1,12.9
"523",999999999,"1/28/2014",92.069998,1,28,2014,7,2,1,1,14
"524",999999999,"1/28/2014",124.529998,1,28,2014,8,2,1,1,15.1
"525",999999999,"1/28/2014",119.054998,1,28,2014,9,2,1,1,16
"528",999999999,"1/29/2014",68.655,1,29,2014,10,3,1,1,19.9
"529",999999999,"1/29/2014",61.53,1,29,2014,11,3,1,1,21.9
"530",999999999,"1/29/2014",49.56,1,29,2014,12,3,1,1,25
"531",999999999,"1/29/2014",49.095,1,29,2014,13,3,1,1,26.1
"532",999999999,"1/29/2014",39.015,1,29,2014,14,3,1,1,26.1
"533",999999999,"1/29/2014",17.835,1,29,2014,15,3,1,1,26.1
"547",999999999,"1/29/2014",12.645,1,29,2014,6,3,1,1,15.1
"548",999999999,"1/29/2014",82.829999,1,29,2014,7,3,1,1,16
"549",999999999,"1/29/2014",126.059999,1,29,2014,8,3,1,1,15.86666667
"550",999999999,"1/29/2014",106.859997,1,29,2014,9,3,1,1,17.1
"553",999999999,"1/3/2014",41.1,1,3,2014,10,5,1,1,8.8
"554",999999999,"1/3/2014",40.995,1,3,2014,11,5,1,1,9.75
"555",999999999,"1/3/2014",40.095,1,3,2014,12,5,1,1,12
"556",999999999,"1/3/2014",39.06,1,3,2014,13,5,1,1,14
"557",999999999,"1/3/2014",37.785,1,3,2014,14,5,1,1,14
"558",999999999,"1/3/2014",20.295,1,3,2014,15,5,1,1,12.9
"572",999999999,"1/3/2014",6.975,1,3,2014,6,5,1,1,3.1
"573",999999999,"1/3/2014",50.79,1,3,2014,7,5,1,1,3.9
"574",999999999,"1/3/2014",51.945,1,3,2014,8,5,1,1,5
"575",999999999,"1/3/2014",40.275,1,3,2014,9,5,1,1,6.1
"578",999999999,"1/30/2014",65.549999,1,30,2014,10,4,1,1,25
"579",999999999,"1/30/2014",56.085,1,30,2014,11,4,1,1,27
"580",999999999,"1/30/2014",53.58,1,30,2014,12,4,1,1,28
"581",999999999,"1/30/2014",47.325,1,30,2014,13,4,1,1,28.9
"582",999999999,"1/30/2014",33.015,1,30,2014,14,4,1,1,30
"583",999999999,"1/30/2014",10.02,1,30,2014,15,4,1,1,30
"597",999999999,"1/30/2014",1.545,1,30,2014,6,4,1,1,17.1
"598",999999999,"1/30/2014",82.59,1,30,2014,7,4,1,1,18
"599",999999999,"1/30/2014",114.96,1,30,2014,8,4,1,1,19.9
"600",999999999,"1/30/2014",84.525,1,30,2014,9,4,1,1,21.9
"603",999999999,"1/31/2014",89.819999,1,31,2014,10,5,1,1,37
"604",999999999,"1/31/2014",62.1,1,31,2014,11,5,1,1,37
"605",999999999,"1/31/2014",55.395,1,31,2014,12,5,1,1,39
"606",999999999,"1/31/2014",47.55,1,31,2014,13,5,1,1,42.1
"607",999999999,"1/31/2014",35.1,1,31,2014,14,5,1,1,41
"608",999999999,"1/31/2014",10.395,1,31,2014,15,5,1,1,41
"622",999999999,"1/31/2014",18.285,1,31,2014,6,5,1,1,27
"623",999999999,"1/31/2014",91.349998,1,31,2014,7,5,1,1,30.9
"624",999999999,"1/31/2014",119.114995,1,31,2014,8,5,1,1,32
"625",999999999,"1/31/2014",110.624998,1,31,2014,9,5,1,1,34
"678",999999999,"1/6/2014",89.894999,1,6,2014,10,1,1,1,52.46666667
"679",999999999,"1/6/2014",82.005,1,6,2014,11,1,1,1,54.58333333
"680",999999999,"1/6/2014",75.51,1,6,2014,12,1,1,1,55.65
"681",999999999,"1/6/2014",64.125,1,6,2014,13,1,1,1,53.8
"682",999999999,"1/6/2014",51.21,1,6,2014,14,1,1,1,53.35
"683",999999999,"1/6/2014",23.55,1,6,2014,15,1,1,1,48
"684",999999999,"1/6/2014",0.15,1,6,2014,16,1,1,1,45
"696",999999999,"1/6/2014",0.21,1,6,2014,5,1,1,0,44.73333333
"697",999999999,"1/6/2014",1.35,1,6,2014,6,1,1,1,46.9
"698",999999999,"1/6/2014",51.075,1,6,2014,7,1,1,1,48.1
"699",999999999,"1/6/2014",90.764999,1,6,2014,8,1,1,1,48.13333333
"700",999999999,"1/6/2014",95.609999,1,6,2014,9,1,1,1,51.1
"703",999999999,"1/7/2014",109.439995,1,7,2014,10,2,1,1,15.1
"704",999999999,"1/7/2014",94.425,1,7,2014,11,2,1,1,15.1
"705",999999999,"1/7/2014",87.21,1,7,2014,12,2,1,1,16
"706",999999999,"1/7/2014",82.29,1,7,2014,13,2,1,1,15.1
"707",999999999,"1/7/2014",79.59,1,7,2014,14,2,1,1,15.1
"708",999999999,"1/7/2014",40.05,1,7,2014,15,2,1,1,12.9
"722",999999999,"1/7/2014",5.4,1,7,2014,6,2,1,1,12.9
"723",999999999,"1/7/2014",71.97,1,7,2014,7,2,1,1,12
"724",999999999,"1/7/2014",105.059999,1,7,2014,8,2,1,1,12.9
"725",999999999,"1/7/2014",75.42,1,7,2014,9,2,1,1,14
"728",999999999,"1/8/2014",152.534997,1,8,2014,10,3,1,1,17.1
"729",999999999,"1/8/2014",101.205,1,8,2014,11,3,1,1,19.9
"730",999999999,"1/8/2014",84.63,1,8,2014,12,3,1,1,21.9
"731",999999999,"1/8/2014",77.295,1,8,2014,13,3,1,1,21
"732",999999999,"1/8/2014",72.3,1,8,2014,14,3,1,1,21.9
"733",999999999,"1/8/2014",40.65,1,8,2014,15,3,1,1,21
"734",999999999,"1/8/2014",0.03,1,8,2014,16,3,1,1,19.9
"747",999999999,"1/8/2014",14.07,1,8,2014,6,3,1,1,7
"748",999999999,"1/8/2014",106.019999,1,8,2014,7,3,1,1,8.1
"749",999999999,"1/8/2014",135.809997,1,8,2014,8,3,1,1,10.9
"750",999999999,"1/8/2014",142.215,1,8,2014,9,3,1,1,14
"757",999999999,"1/9/2014",86.64,1,9,2014,14,4,1,1,30
"758",999999999,"1/9/2014",45.87,1,9,2014,15,4,1,1,28.9
"772",999999999,"1/9/2014",20.49,1,9,2014,6,4,1,1,19
"773",999999999,"1/9/2014",110.354999,1,9,2014,7,4,1,1,19.9
"774",999999999,"1/9/2014",127.019998,1,9,2014,8,4,1,1,21.9
"775",999999999,"1/9/2014",241.919994,1,9,2014,9,4,1,1,24.1
"776",999999999,"10/1/2014",70.485,10,1,2014,0,3,1,0,57
"777",999999999,"10/1/2014",68.805,10,1,2014,1,3,1,0,57
"779",999999999,"10/1/2014",253.349995,10,1,2014,11,3,1,1,57
"780",999999999,"10/1/2014",247.154996,10,1,2014,12,3,1,1,57
"781",999999999,"10/1/2014",245.144994,10,1,2014,13,3,1,1,55.56666667
"782",999999999,"10/1/2014",235.214992,10,1,2014,14,3,1,1,55.525
"783",999999999,"10/1/2014",196.049997,10,1,2014,15,3,1,1,57.1
"784",999999999,"10/1/2014",152.339999,10,1,2014,16,3,1,1,55.9
"785",999999999,"10/1/2014",146.054998,10,1,2014,17,3,1,1,55.65
"786",999999999,"10/1/2014",147.224994,10,1,2014,18,3,1,1,57
"787",999999999,"10/1/2014",139.184996,10,1,2014,19,3,1,1,57
"788",999999999,"10/1/2014",68.925,10,1,2014,2,3,1,0,57
"789",999999999,"10/1/2014",126.104999,10,1,2014,20,3,1,0,57.1
"790",999999999,"10/1/2014",91.095,10,1,2014,21,3,1,0,57
"791",999999999,"10/1/2014",75.78,10,1,2014,22,3,1,0,55.56666667
"792",999999999,"10/1/2014",65.82,10,1,2014,23,3,1,0,55.9
"794",999999999,"10/1/2014",69.435,10,1,2014,3,3,1,0,57
"795",999999999,"10/1/2014",69.51,10,1,2014,4,3,1,0,57.2
"796",999999999,"10/1/2014",71.055,10,1,2014,5,3,1,0,57
"797",999999999,"10/1/2014",116.339996,10,1,2014,6,3,1,1,57
"798",999999999,"10/1/2014",194.069998,10,1,2014,7,3,1,1,57
"799",999999999,"10/1/2014",242.654994,10,1,2014,8,3,1,1,57
"800",999999999,"10/1/2014",249.224993,10,1,2014,9,3,1,1,57.1
"801",999999999,"10/10/2014",76.59,10,10,2014,0,5,1,0,57
"802",999999999,"10/10/2014",81.795,10,10,2014,1,5,1,0,55
"803",999999999,"10/10/2014",252.704994,10,10,2014,10,5,1,1,57.9
"804",999999999,"10/10/2014",248.504993,10,10,2014,11,5,1,1,60.1
"805",999999999,"10/10/2014",246.554993,10,10,2014,12,5,1,1,62.1
"806",999999999,"10/10/2014",238.274994,10,10,2014,13,5,1,1,61
"807",999999999,"10/10/2014",231.629993,10,10,2014,14,5,1,1,63
"808",999999999,"10/10/2014",190.274995,10,10,2014,15,5,1,1,63
"809",999999999,"10/10/2014",146.384996,10,10,2014,16,5,1,1,61
"810",999999999,"10/10/2014",135.239998,10,10,2014,17,5,1,1,60.1
"811",999999999,"10/10/2014",128.414998,10,10,2014,18,5,1,1,57.9
"812",999999999,"10/10/2014",113.804998,10,10,2014,19,5,1,1,57
"813",999999999,"10/10/2014",84.945,10,10,2014,2,5,1,0,55
"814",999999999,"10/10/2014",98.039998,10,10,2014,20,5,1,0,55.9
"815",999999999,"10/10/2014",78.495,10,10,2014,21,5,1,0,55.9
"816",999999999,"10/10/2014",72.255,10,10,2014,22,5,1,0,55.9
"817",999999999,"10/10/2014",65.595,10,10,2014,23,5,1,0,55
"819",999999999,"10/10/2014",84.75,10,10,2014,3,5,1,0,53.1
"820",999999999,"10/10/2014",76.305,10,10,2014,4,5,1,0,53.1
"821",999999999,"10/10/2014",77.52,10,10,2014,5,5,1,0,52
"822",999999999,"10/10/2014",115.274998,10,10,2014,6,5,1,1,51.1
"823",999999999,"10/10/2014",192.329995,10,10,2014,7,5,1,1,52
"824",999999999,"10/10/2014",238.694995,10,10,2014,8,5,1,1,54
"825",999999999,"10/10/2014",242.669996,10,10,2014,9,5,1,1,55.9
"826",999999999,"10/11/2014",73.095,10,11,2014,0,6,0,0,54
"827",999999999,"10/11/2014",72.24,10,11,2014,1,6,0,0,52
"828",999999999,"10/11/2014",117.074996,10,11,2014,10,6,0,1,48
"829",999999999,"10/11/2014",116.114997,10,11,2014,11,6,0,1,48.9
"830",999999999,"10/11/2014",112.679997,10,11,2014,12,6,0,1,48.9
"831",999999999,"10/11/2014",110.069996,10,11,2014,13,6,0,1,48.9
"832",999999999,"10/11/2014",111,10,11,2014,14,6,0,1,51.1
"833",999999999,"10/11/2014",110.174999,10,11,2014,15,6,0,1,51.1
"834",999999999,"10/11/2014",86.145,10,11,2014,16,6,0,1,51.1
"835",999999999,"10/11/2014",84.165,10,11,2014,17,6,0,1,50
"836",999999999,"10/11/2014",87.735,10,11,2014,18,6,0,1,50
"837",999999999,"10/11/2014",87.195,10,11,2014,19,6,0,1,48.9
"838",999999999,"10/11/2014",71.235,10,11,2014,2,6,0,0,52
"839",999999999,"10/11/2014",87.06,10,11,2014,20,6,0,0,48.9
"840",999999999,"10/11/2014",72.075,10,11,2014,21,6,0,0,48.9
"841",999999999,"10/11/2014",70.71,10,11,2014,22,6,0,0,48
"842",999999999,"10/11/2014",65.085,10,11,2014,23,6,0,0,48
"844",999999999,"10/11/2014",71.805,10,11,2014,3,6,0,0,52
"845",999999999,"10/11/2014",71.325,10,11,2014,4,6,0,0,51.1
"846",999999999,"10/11/2014",71.805,10,11,2014,5,6,0,0,51.1
"847",999999999,"10/11/2014",78.015,10,11,2014,6,6,0,1,51.1
"848",999999999,"10/11/2014",123.164998,10,11,2014,7,6,0,1,51.1
"849",999999999,"10/11/2014",123.569997,10,11,2014,8,6,0,1,50
"850",999999999,"10/11/2014",117.78,10,11,2014,9,6,0,1,48.9
"851",999999999,"10/12/2014",72.255,10,12,2014,0,0,0,0,46.9
"852",999999999,"10/12/2014",71.31,10,12,2014,1,0,0,0,46.9
"853",999999999,"10/12/2014",68.745,10,12,2014,10,0,0,1,55
"854",999999999,"10/12/2014",68.22,10,12,2014,11,0,0,1,57.9
"855",999999999,"10/12/2014",70.155,10,12,2014,12,0,0,1,57.9
"856",999999999,"10/12/2014",68.64,10,12,2014,13,0,0,1,57.9
"857",999999999,"10/12/2014",68.55,10,12,2014,14,0,0,1,57
"858",999999999,"10/12/2014",68.55,10,12,2014,15,0,0,1,57
"859",999999999,"10/12/2014",68.79,10,12,2014,16,0,0,1,55.9
"860",999999999,"10/12/2014",69.045,10,12,2014,17,0,0,1,55
"861",999999999,"10/12/2014",71.715,10,12,2014,18,0,0,1,53.1
"862",999999999,"10/12/2014",70.53,10,12,2014,19,0,0,1,52
"863",999999999,"10/12/2014",72.21,10,12,2014,2,0,0,0,46
"864",999999999,"10/12/2014",71.58,10,12,2014,20,0,0,0,52
"865",999999999,"10/12/2014",71.295,10,12,2014,21,0,0,0,50
"866",999999999,"10/12/2014",71.535,10,12,2014,22,0,0,0,50
"867",999999999,"10/12/2014",65.385,10,12,2014,23,0,0,0,50
"869",999999999,"10/12/2014",71.235,10,12,2014,3,0,0,0,46
"870",999999999,"10/12/2014",70.815,10,12,2014,4,0,0,0,46
"871",999999999,"10/12/2014",71.835,10,12,2014,5,0,0,0,46
"872",999999999,"10/12/2014",71.25,10,12,2014,6,0,0,1,45
"873",999999999,"10/12/2014",71.28,10,12,2014,7,0,0,1,46
"874",999999999,"10/12/2014",78.165,10,12,2014,8,0,0,1,50
"875",999999999,"10/12/2014",75.69,10,12,2014,9,0,0,1,53.1
"876",999999999,"10/13/2014",72.045,10,13,2014,0,1,1,0,48.9
"877",999999999,"10/13/2014",72.075,10,13,2014,1,1,1,0,48
"878",999999999,"10/13/2014",160.304998,10,13,2014,10,1,1,1,55
"879",999999999,"10/13/2014",160.574995,10,13,2014,11,1,1,1,57
"880",999999999,"10/13/2014",161.774995,10,13,2014,12,1,1,1,60.1
"881",999999999,"10/13/2014",160.319999,10,13,2014,13,1,1,1,62.1
"882",999999999,"10/13/2014",159.599996,10,13,2014,14,1,1,1,62.1
"883",999999999,"10/13/2014",139.229999,10,13,2014,15,1,1,1,63
"884",999999999,"10/13/2014",98.459999,10,13,2014,16,1,1,1,62.1
"885",999999999,"10/13/2014",90.735,10,13,2014,17,1,1,1,62.1
"886",999999999,"10/13/2014",92.355,10,13,2014,18,1,1,1,61
"887",999999999,"10/13/2014",86.88,10,13,2014,19,1,1,1,61
"888",999999999,"10/13/2014",72.015,10,13,2014,2,1,1,0,46.9
"889",999999999,"10/13/2014",86.025,10,13,2014,20,1,1,0,61
"890",999999999,"10/13/2014",72.33,10,13,2014,21,1,1,0,60.1
"891",999999999,"10/13/2014",71.19,10,13,2014,22,1,1,0,61
"892",999999999,"10/13/2014",64.455,10,13,2014,23,1,1,0,60.1
"894",999999999,"10/13/2014",71.145,10,13,2014,3,1,1,0,46
"895",999999999,"10/13/2014",70.725,10,13,2014,4,1,1,0,48
"896",999999999,"10/13/2014",79.305,10,13,2014,5,1,1,0,46.9
"897",999999999,"10/13/2014",104.999999,10,13,2014,6,1,1,1,48
