"","names","x"
"1","Account No","999999999"
"2","(Intercept)","-226241.490205691"
"3","Temp","2.69885955242111"
"4","Peakhour","83.0286716935566"
"5","hour","-2.30422124922653"
"6","Weekday","78.0291390735499"
"7","month","-424.154922730012"
"8","day","-14.4812365428724"
"9","Date","14.096657445544"
