"","Day","Hour","Temp","KWH"
"117","12/5/2014",20,41,"Above_Normal"
"118","12/5/2014",21,41,"Above_Normal"
"119","12/5/2014",22,39.92,"Above_Normal"
"120","12/5/2014",23,39.56,"Above_Normal"
"121","12/6/2014",0,39.74,"Optimal"
"122","12/6/2014",1,40.1,"Optimal"
"123","12/6/2014",2,42.08,"Optimal"
"124","12/6/2014",3,42.86,"Optimal"
"125","12/6/2014",4,44.42,"Optimal"
"126","12/6/2014",5,44.78,"Optimal"
"127","12/6/2014",6,44.78,"Optimal"
"128","12/6/2014",7,44.72,"Optimal"
"129","12/6/2014",8,41,"Optimal"
"130","12/6/2014",9,39.14,"Optimal"
"131","12/6/2014",10,37.94,"Above_Normal"
"132","12/6/2014",11,39.02,"Above_Normal"
"133","12/6/2014",12,39.02,"Above_Normal"
"134","12/6/2014",13,39.56,"Above_Normal"
"135","12/6/2014",14,39.92,"Above_Normal"
"136","12/6/2014",15,41,"Above_Normal"
"137","12/6/2014",16,41,"Above_Normal"
"138","12/6/2014",17,41,"Above_Normal"
"139","12/6/2014",18,39.02,"Above_Normal"
"140","12/6/2014",19,39.02,"Above_Normal"
"141","12/6/2014",20,39.02,"Above_Normal"
"142","12/6/2014",21,39.02,"Above_Normal"
"143","12/6/2014",22,37.94,"Above_Normal"
"144","12/6/2014",23,37.94,"Above_Normal"
"145","12/7/2014",0,37.22,"Optimal"
"146","12/7/2014",1,35.78,"Optimal"
"147","12/7/2014",2,37.22,"Optimal"
"148","12/7/2014",3,37.22,"Optimal"
"149","12/7/2014",4,35.96,"Optimal"
"150","12/7/2014",5,35.06,"Optimal"
"151","12/7/2014",6,33.89,"Optimal"
"152","12/7/2014",7,33.98,"Optimal"
"153","12/7/2014",8,33.98,"Optimal"
"154","12/7/2014",9,33.98,"Above_Normal"
"155","12/7/2014",10,33.98,"Above_Normal"
"156","12/7/2014",11,33.98,"Above_Normal"
"157","12/7/2014",12,33.98,"Above_Normal"
"158","12/7/2014",13,35.96,"Above_Normal"
"159","12/7/2014",14,37.04,"Above_Normal"
"160","12/7/2014",15,35.96,"Above_Normal"
"161","12/7/2014",16,32,"Above_Normal"
"162","12/7/2014",17,30.02,"Above_Normal"
"163","12/7/2014",18,28.04,"Above_Normal"
"164","12/7/2014",19,26.06,"Above_Normal"
"165","12/7/2014",20,24.08,"Above_Normal"
"166","12/7/2014",21,23,"Above_Normal"
"167","12/7/2014",22,21.92,"Above_Normal"
"168","12/7/2014",23,21.02,"Above_Normal"
"169","12/8/2014",0,19.67,"Optimal"
"170","12/8/2014",1,19.94,"Optimal"
"171","12/8/2014",2,19.04,"Optimal"
"172","12/8/2014",3,19.04,"Optimal"
"173","12/8/2014",4,19.04,"Optimal"
"174","12/8/2014",5,17.96,"Optimal"
"175","12/8/2014",6,19.04,"Optimal"
"176","12/8/2014",7,19.04,"Optimal"
"177","12/8/2014",8,19.94,"Optimal"
"178","12/8/2014",9,21.02,"Above_Normal"
"179","12/8/2014",10,21.02,"Above_Normal"
"180","12/8/2014",11,21.92,"Above_Normal"
"181","12/8/2014",12,23,"Above_Normal"
"182","12/8/2014",13,24.08,"Above_Normal"
"183","12/8/2014",14,24.08,"Above_Normal"
"184","12/8/2014",15,24.89,"Above_Normal"
"185","12/8/2014",16,24.98,"Above_Normal"
"186","12/8/2014",17,26.06,"Above_Normal"
"187","12/8/2014",18,26.06,"Above_Normal"
"188","12/8/2014",19,26.33,"Above_Normal"
"189","12/8/2014",20,25.79,"Above_Normal"
"190","12/8/2014",21,24.89,"Above_Normal"
"191","12/8/2014",22,25.43,"Above_Normal"
"192","12/8/2014",23,27.635,"Above_Normal"
"193","12/9/2014",0,30.32,"Optimal"
"194","12/9/2014",1,32.66,"Optimal"
"195","12/9/2014",2,39.2,"Optimal"
"196","12/9/2014",3,42.08,"Optimal"
"197","12/9/2014",4,37.04,"Optimal"
"198","12/9/2014",5,37.4,"Optimal"
"199","12/9/2014",6,42.89,"Optimal"
"200","12/9/2014",7,42.98,"Optimal"
"201","12/9/2014",8,44.06,"Optimal"
"202","12/9/2014",9,44.96,"Optimal"
"203","12/9/2014",10,44.78,"Above_Normal"
"204","12/9/2014",11,44.96,"Above_Normal"
"205","12/9/2014",12,46.28,"Above_Normal"
"206","12/9/2014",13,46.94,"Above_Normal"
"207","12/9/2014",14,46.94,"Above_Normal"
"208","12/9/2014",15,46.58,"Above_Normal"
"209","12/9/2014",16,48.02,"Above_Normal"
"210","12/9/2014",17,48.14,"Above_Normal"
"211","12/9/2014",18,48.44,"Above_Normal"
"212","12/9/2014",19,48.92,"Above_Normal"
"213","12/9/2014",20,48.56,"Above_Normal"
"214","12/9/2014",21,48.92,"Above_Normal"
"215","12/9/2014",22,48.92,"Above_Normal"
"216","12/9/2014",23,48.92,"Above_Normal"
"217","12/10/2014",0,46.04,"Optimal"
"218","12/10/2014",1,44.96,"Optimal"
"219","12/10/2014",2,42.98,"Optimal"
"220","12/10/2014",3,42.08,"Optimal"
"221","12/10/2014",4,42.08,"Optimal"
"222","12/10/2014",5,42.2,"Optimal"
"223","12/10/2014",6,41,"Optimal"
"224","12/10/2014",7,41.9,"Optimal"
"225","12/10/2014",8,41,"Optimal"
"226","12/10/2014",9,41,"Optimal"
"227","12/10/2014",10,41.36,"Above_Normal"
"228","12/10/2014",11,42.56,"Above_Normal"
"229","12/10/2014",12,42.44,"Above_Normal"
"230","12/10/2014",13,42.56,"Above_Normal"
"231","12/10/2014",14,41,"Above_Normal"
"232","12/10/2014",15,39.92,"Above_Normal"
"233","12/10/2014",16,39.92,"Above_Normal"
"234","12/10/2014",17,39.11,"Above_Normal"
"235","12/10/2014",18,39.11,"Above_Normal"
"236","12/10/2014",19,39.02,"Above_Normal"
"237","12/10/2014",20,39.14,"Above_Normal"
"238","12/10/2014",21,37.94,"Above_Normal"
"239","12/10/2014",22,39.02,"Above_Normal"
"240","12/10/2014",23,39.02,"Above_Normal"
"241","12/11/2014",0,39.14,"Optimal"
"242","12/11/2014",1,39.155,"Optimal"
"243","12/11/2014",2,37.94,"Optimal"
