"","Day","Hour","Temp","kWh"
"122","12/6/2014",1,40.1,397.496106481153
"123","12/6/2014",2,42.08,397.497115748237
"124","12/6/2014",3,42.86,397.49760782632
"125","12/6/2014",4,44.42,397.499099079106
"126","12/6/2014",5,44.78,397.499374468047
"127","12/6/2014",6,44.78,397.499132922075
"128","12/6/2014",7,44.72,397.503163047602
"129","12/6/2014",8,41,397.492566955184
"130","12/6/2014",9,39.14,397.45657123926
"131","12/6/2014",10,37.94,397.278582728352
"132","12/6/2014",11,39.02,397.176385517455
"133","12/6/2014",12,39.02,396.618490232833
"134","12/6/2014",13,39.56,395.729137595384
"135","12/6/2014",14,39.92,393.534172511573
"136","12/6/2014",15,41,391.633056924168
"137","12/6/2014",16,41,380.963165082135
"138","12/6/2014",17,41,349.325967832294
"139","12/6/2014",18,39.02,102.770078464454
"140","12/6/2014",19,39.02,44.5452574307931
"141","12/6/2014",20,39.02,28.6925943702502
"142","12/6/2014",21,39.02,25.263068116662
"143","12/6/2014",22,37.94,23.8327460256155
"144","12/6/2014",23,37.94,23.6419157509838
"145","12/7/2014",0,37.22,332.208765741066
"146","12/7/2014",1,35.78,105.704361910752
"147","12/7/2014",2,37.22,88.6452593960587
"148","12/7/2014",3,37.22,40.9052851840843
"149","12/7/2014",4,35.96,25.9369873395262
"150","12/7/2014",5,35.06,23.9935147547608
"151","12/7/2014",6,33.89,23.5762113168593
"152","12/7/2014",7,33.98,23.5251151892796
"153","12/7/2014",8,33.98,23.4976654868314
"154","12/7/2014",9,33.98,23.4876558789762
"155","12/7/2014",10,33.98,23.4840037832992
"156","12/7/2014",11,33.98,23.482671007979
"157","12/7/2014",12,33.98,23.4821845957398
"158","12/7/2014",13,35.96,23.4822239066612
"159","12/7/2014",14,37.04,23.482121712394
"160","12/7/2014",15,35.96,23.4819475127404
"161","12/7/2014",16,32,23.4819066234486
"162","12/7/2014",17,30.02,23.4819052213877
"163","12/7/2014",18,28.04,23.4819050576337
"164","12/7/2014",19,26.06,23.4819050386862
"165","12/7/2014",20,24.08,23.4819050374956
"166","12/7/2014",21,23,23.481905041118
"167","12/7/2014",22,21.92,23.4819050554057
"168","12/7/2014",23,21.02,23.4819051057512
"169","12/8/2014",0,19.67,23.5528888019877
"170","12/8/2014",1,19.94,23.5121384819341
"171","12/8/2014",2,19.04,23.4884750649061
"172","12/8/2014",3,19.04,23.4843027118327
"173","12/8/2014",4,19.04,23.4827801024609
"174","12/8/2014",5,17.96,23.4820765775414
"175","12/8/2014",6,19.04,23.4820216002966
"176","12/8/2014",7,19.04,23.4819558100933
"177","12/8/2014",8,19.94,23.481936142444
"178","12/8/2014",9,21.02,23.4819261732033
"179","12/8/2014",10,21.02,23.4819127505894
"180","12/8/2014",11,21.92,23.4819097623242
"181","12/8/2014",12,23,23.4819082476483
"182","12/8/2014",13,24.08,23.4819072184427
"183","12/8/2014",14,24.08,23.4819058326227
"184","12/8/2014",15,24.89,23.4819054995372
"185","12/8/2014",16,24.98,23.4819052143339
"186","12/8/2014",17,26.06,23.4819051574318
"187","12/8/2014",18,26.06,23.4819050808167
"188","12/8/2014",19,26.33,23.4819050561332
"189","12/8/2014",20,25.79,23.481905043906
"190","12/8/2014",21,24.89,23.4819050500052
"191","12/8/2014",22,25.43,23.4819050687799
"192","12/8/2014",23,27.635,23.4819050885607
"193","12/9/2014",0,30.32,156.235659589021
"194","12/9/2014",1,32.66,206.571949725738
"195","12/9/2014",2,39.2,386.26049024338
"196","12/9/2014",3,42.08,391.716061091979
"197","12/9/2014",4,37.04,133.910693248486
