"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"12/3/2014",12,3,2014,22,3,1,0,42.08
"12/3/2014",12,3,2014,23,3,1,0,39.92
"12/4/2014",12,4,2014,0,4,1,0,39.02
"12/4/2014",12,4,2014,1,4,1,0,37.94
"12/4/2014",12,4,2014,2,4,1,0,37.94
"12/4/2014",12,4,2014,3,4,1,0,37.04
"12/4/2014",12,4,2014,4,4,1,0,37.04
"12/4/2014",12,4,2014,5,4,1,0,33.98
"12/4/2014",12,4,2014,6,4,1,1,33.98
"12/4/2014",12,4,2014,7,4,1,1,35.06
"12/4/2014",12,4,2014,8,4,1,1,37.94
"12/4/2014",12,4,2014,9,4,1,1,39.92
"12/4/2014",12,4,2014,10,4,1,1,41
"12/4/2014",12,4,2014,11,4,1,1,42.08
"12/4/2014",12,4,2014,12,4,1,1,42.98
"12/4/2014",12,4,2014,13,4,1,1,42.98
"12/4/2014",12,4,2014,14,4,1,1,42.08
"12/4/2014",12,4,2014,15,4,1,1,39.92
"12/4/2014",12,4,2014,16,4,1,1,37.04
"12/4/2014",12,4,2014,17,4,1,1,35.96
"12/4/2014",12,4,2014,18,4,1,1,33.98
"12/4/2014",12,4,2014,19,4,1,1,33.08
"12/4/2014",12,4,2014,20,4,1,0,32
"12/4/2014",12,4,2014,21,4,1,0,30.92
"12/4/2014",12,4,2014,22,4,1,0,30.02
"12/4/2014",12,4,2014,23,4,1,0,30.02
"12/5/2014",12,5,2014,0,5,1,0,28.94
"12/5/2014",12,5,2014,1,5,1,0,28.04
"12/5/2014",12,5,2014,2,5,1,0,28.04
"12/5/2014",12,5,2014,3,5,1,0,26.96
"12/5/2014",12,5,2014,4,5,1,0,26.96
"12/5/2014",12,5,2014,5,5,1,0,26.96
"12/5/2014",12,5,2014,6,5,1,1,26.06
"12/5/2014",12,5,2014,7,5,1,1,26.96
"12/5/2014",12,5,2014,8,5,1,1,30.02
"12/5/2014",12,5,2014,9,5,1,1,32
"12/5/2014",12,5,2014,10,5,1,1,35.96
"12/5/2014",12,5,2014,11,5,1,1,37.94
"12/5/2014",12,5,2014,12,5,1,1,42.08
"12/5/2014",12,5,2014,13,5,1,1,42.08
"12/5/2014",12,5,2014,14,5,1,1,41
"12/5/2014",12,5,2014,15,5,1,1,39.92
"12/5/2014",12,5,2014,16,5,1,1,39.92
"12/5/2014",12,5,2014,17,5,1,1,39.92
"12/5/2014",12,5,2014,18,5,1,1,41
"12/5/2014",12,5,2014,19,5,1,1,41
"12/5/2014",12,5,2014,20,5,1,0,41
"12/5/2014",12,5,2014,21,5,1,0,41
"12/5/2014",12,5,2014,22,5,1,0,39.92
"12/5/2014",12,5,2014,23,5,1,0,39.56
"12/6/2014",12,6,2014,0,6,0,0,39.74
"12/6/2014",12,6,2014,1,6,0,0,40.1
"12/6/2014",12,6,2014,2,6,0,0,42.08
"12/6/2014",12,6,2014,3,6,0,0,42.86
"12/6/2014",12,6,2014,4,6,0,0,44.42
"12/6/2014",12,6,2014,5,6,0,0,44.78
"12/6/2014",12,6,2014,6,6,0,1,44.78
"12/6/2014",12,6,2014,7,6,0,1,44.72
"12/6/2014",12,6,2014,8,6,0,1,41
"12/6/2014",12,6,2014,9,6,0,1,39.14
"12/6/2014",12,6,2014,10,6,0,1,37.94
"12/6/2014",12,6,2014,11,6,0,1,39.02
"12/6/2014",12,6,2014,12,6,0,1,39.02
"12/6/2014",12,6,2014,13,6,0,1,39.56
"12/6/2014",12,6,2014,14,6,0,1,39.92
"12/6/2014",12,6,2014,15,6,0,1,41
"12/6/2014",12,6,2014,16,6,0,1,41
"12/6/2014",12,6,2014,17,6,0,1,41
"12/6/2014",12,6,2014,18,6,0,1,39.02
"12/6/2014",12,6,2014,19,6,0,1,39.02
"12/6/2014",12,6,2014,20,6,0,0,39.02
"12/6/2014",12,6,2014,21,6,0,0,39.02
"12/6/2014",12,6,2014,22,6,0,0,37.94
"12/6/2014",12,6,2014,23,6,0,0,37.94
"12/7/2014",12,7,2014,0,0,0,0,37.22
"12/7/2014",12,7,2014,1,0,0,0,35.78
"12/7/2014",12,7,2014,2,0,0,0,37.22
"12/7/2014",12,7,2014,3,0,0,0,37.22
"12/7/2014",12,7,2014,4,0,0,0,35.96
"12/7/2014",12,7,2014,5,0,0,0,35.06
"12/7/2014",12,7,2014,6,0,0,1,33.89
"12/7/2014",12,7,2014,7,0,0,1,33.98
"12/7/2014",12,7,2014,8,0,0,1,33.98
"12/7/2014",12,7,2014,9,0,0,1,33.98
"12/7/2014",12,7,2014,10,0,0,1,33.98
"12/7/2014",12,7,2014,11,0,0,1,33.98
"12/7/2014",12,7,2014,12,0,0,1,33.98
"12/7/2014",12,7,2014,13,0,0,1,35.96
"12/7/2014",12,7,2014,14,0,0,1,37.04
"12/7/2014",12,7,2014,15,0,0,1,35.96
"12/7/2014",12,7,2014,16,0,0,1,32
"12/7/2014",12,7,2014,17,0,0,1,30.02
"12/7/2014",12,7,2014,18,0,0,1,28.04
"12/7/2014",12,7,2014,19,0,0,1,26.06
"12/7/2014",12,7,2014,20,0,0,0,24.08
"12/7/2014",12,7,2014,21,0,0,0,23
"12/7/2014",12,7,2014,22,0,0,0,21.92
"12/7/2014",12,7,2014,23,0,0,0,21.02
"12/8/2014",12,8,2014,0,1,1,0,19.67
"12/8/2014",12,8,2014,1,1,1,0,19.94
"12/8/2014",12,8,2014,2,1,1,0,19.04
"12/8/2014",12,8,2014,3,1,1,0,19.04
"12/8/2014",12,8,2014,4,1,1,0,19.04
"12/8/2014",12,8,2014,5,1,1,0,17.96
"12/8/2014",12,8,2014,6,1,1,1,19.04
"12/8/2014",12,8,2014,7,1,1,1,19.04
"12/8/2014",12,8,2014,8,1,1,1,19.94
"12/8/2014",12,8,2014,9,1,1,1,21.02
"12/8/2014",12,8,2014,10,1,1,1,21.02
"12/8/2014",12,8,2014,11,1,1,1,21.92
"12/8/2014",12,8,2014,12,1,1,1,23
"12/8/2014",12,8,2014,13,1,1,1,24.08
"12/8/2014",12,8,2014,14,1,1,1,24.08
"12/8/2014",12,8,2014,15,1,1,1,24.89
"12/8/2014",12,8,2014,16,1,1,1,24.98
"12/8/2014",12,8,2014,17,1,1,1,26.06
"12/8/2014",12,8,2014,18,1,1,1,26.06
"12/8/2014",12,8,2014,19,1,1,1,26.33
"12/8/2014",12,8,2014,20,1,1,0,25.79
