"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
20160613,6,13,2016,18,1,1,1,70
20160613,6,13,2016,19,1,1,1,70
20160613,6,13,2016,20,1,1,0,69
20160613,6,13,2016,21,1,1,0,67
20160613,6,13,2016,22,1,1,0,65
20160613,6,13,2016,23,1,1,0,63
20160614,6,14,2016,0,2,1,0,61
20160614,6,14,2016,1,2,1,0,60
20160614,6,14,2016,2,2,1,0,59
20160614,6,14,2016,3,2,1,0,58
20160614,6,14,2016,4,2,1,0,57
20160614,6,14,2016,5,2,1,0,56
20160614,6,14,2016,6,2,1,1,56
20160614,6,14,2016,7,2,1,1,58
20160614,6,14,2016,8,2,1,1,61
20160614,6,14,2016,9,2,1,1,64
20160614,6,14,2016,10,2,1,1,67
20160614,6,14,2016,11,2,1,1,69
20160614,6,14,2016,12,2,1,1,71
20160614,6,14,2016,13,2,1,1,73
20160614,6,14,2016,14,2,1,1,75
20160614,6,14,2016,15,2,1,1,75
20160614,6,14,2016,16,2,1,1,75
20160614,6,14,2016,17,2,1,1,75
20160614,6,14,2016,18,2,1,1,74
20160614,6,14,2016,19,2,1,1,73
20160614,6,14,2016,20,2,1,0,71
20160614,6,14,2016,21,2,1,0,68
20160614,6,14,2016,22,2,1,0,66
20160614,6,14,2016,23,2,1,0,65
20160615,6,15,2016,0,3,1,0,64
20160615,6,15,2016,1,3,1,0,63
20160615,6,15,2016,2,3,1,0,62
20160615,6,15,2016,3,3,1,0,61
20160615,6,15,2016,4,3,1,0,61
20160615,6,15,2016,5,3,1,0,60
20160615,6,15,2016,6,3,1,1,61
20160615,6,15,2016,7,3,1,1,65
20160615,6,15,2016,8,3,1,1,68
20160615,6,15,2016,9,3,1,1,71
20160615,6,15,2016,10,3,1,1,74
20160615,6,15,2016,11,3,1,1,76
20160615,6,15,2016,12,3,1,1,77
20160615,6,15,2016,13,3,1,1,78
20160615,6,15,2016,14,3,1,1,78
20160615,6,15,2016,15,3,1,1,79
20160615,6,15,2016,16,3,1,1,79
20160615,6,15,2016,17,3,1,1,78
20160615,6,15,2016,18,3,1,1,77
20160615,6,15,2016,19,3,1,1,75
20160615,6,15,2016,20,3,1,0,74
20160615,6,15,2016,21,3,1,0,72
20160615,6,15,2016,22,3,1,0,70
20160615,6,15,2016,23,3,1,0,69
20160616,6,16,2016,0,4,1,0,68
20160616,6,16,2016,1,4,1,0,67
20160616,6,16,2016,2,4,1,0,65
20160616,6,16,2016,3,4,1,0,63
20160616,6,16,2016,4,4,1,0,62
20160616,6,16,2016,5,4,1,0,61
20160616,6,16,2016,6,4,1,1,61
20160616,6,16,2016,7,4,1,1,64
20160616,6,16,2016,8,4,1,1,68
20160616,6,16,2016,9,4,1,1,71
20160616,6,16,2016,10,4,1,1,74
20160616,6,16,2016,11,4,1,1,76
20160616,6,16,2016,12,4,1,1,76
20160616,6,16,2016,13,4,1,1,77
20160616,6,16,2016,14,4,1,1,77
20160616,6,16,2016,15,4,1,1,77
20160616,6,16,2016,16,4,1,1,76
20160616,6,16,2016,17,4,1,1,75
20160616,6,16,2016,18,4,1,1,74
20160616,6,16,2016,19,4,1,1,72
20160616,6,16,2016,20,4,1,0,71
20160616,6,16,2016,21,4,1,0,68
20160616,6,16,2016,22,4,1,0,66
20160616,6,16,2016,23,4,1,0,65
20160617,6,17,2016,0,5,1,0,63
20160617,6,17,2016,1,5,1,0,63
20160617,6,17,2016,2,5,1,0,62
20160617,6,17,2016,3,5,1,0,61
20160617,6,17,2016,4,5,1,0,60
20160617,6,17,2016,5,5,1,0,60
20160617,6,17,2016,6,5,1,1,60
20160617,6,17,2016,7,5,1,1,63
20160617,6,17,2016,8,5,1,1,65
20160617,6,17,2016,9,5,1,1,66
20160617,6,17,2016,10,5,1,1,67
20160617,6,17,2016,11,5,1,1,67
20160617,6,17,2016,12,5,1,1,67
20160617,6,17,2016,13,5,1,1,68
20160617,6,17,2016,14,5,1,1,67
20160617,6,17,2016,15,5,1,1,67
20160617,6,17,2016,16,5,1,1,67
20160617,6,17,2016,17,5,1,1,67
20160617,6,17,2016,18,5,1,1,66
20160617,6,17,2016,19,5,1,1,64
20160617,6,17,2016,20,5,1,0,63
20160617,6,17,2016,21,5,1,0,61
20160617,6,17,2016,22,5,1,0,59
20160617,6,17,2016,23,5,1,0,59
20160618,6,18,2016,0,6,0,0,58
20160618,6,18,2016,1,6,0,0,58
20160618,6,18,2016,2,6,0,0,58
20160618,6,18,2016,3,6,0,0,57
20160618,6,18,2016,4,6,0,0,57
20160618,6,18,2016,5,6,0,0,57
20160618,6,18,2016,6,6,0,1,58
20160618,6,18,2016,7,6,0,1,60
20160618,6,18,2016,8,6,0,1,63
20160618,6,18,2016,9,6,0,1,64
20160618,6,18,2016,10,6,0,1,66
20160618,6,18,2016,11,6,0,1,67
20160618,6,18,2016,12,6,0,1,67
20160618,6,18,2016,13,6,0,1,68
20160618,6,18,2016,14,6,0,1,68
20160618,6,18,2016,15,6,0,1,69
20160618,6,18,2016,16,6,0,1,69
20160618,6,18,2016,17,6,0,1,69
20160618,6,18,2016,18,6,0,1,67
20160618,6,18,2016,19,6,0,1,65
20160618,6,18,2016,20,6,0,0,63
20160618,6,18,2016,21,6,0,0,62
20160618,6,18,2016,22,6,0,0,61
20160618,6,18,2016,23,6,0,0,61
20160619,6,19,2016,0,0,0,0,60
20160619,6,19,2016,1,0,0,0,60
20160619,6,19,2016,2,0,0,0,59
20160619,6,19,2016,3,0,0,0,58
20160619,6,19,2016,4,0,0,0,57
20160619,6,19,2016,5,0,0,0,56
20160619,6,19,2016,6,0,0,1,57
20160619,6,19,2016,7,0,0,1,60
20160619,6,19,2016,8,0,0,1,63
20160619,6,19,2016,9,0,0,1,66
20160619,6,19,2016,10,0,0,1,68
20160619,6,19,2016,11,0,0,1,70
20160619,6,19,2016,12,0,0,1,71
20160619,6,19,2016,13,0,0,1,70
20160619,6,19,2016,14,0,0,1,69
20160619,6,19,2016,15,0,0,1,69
20160619,6,19,2016,16,0,0,1,68
20160619,6,19,2016,17,0,0,1,68
20160619,6,19,2016,18,0,0,1,66
20160619,6,19,2016,19,0,0,1,65
20160619,6,19,2016,20,0,0,0,62
20160619,6,19,2016,21,0,0,0,62
20160619,6,19,2016,22,0,0,0,62
20160619,6,19,2016,23,0,0,0,62
20160620,6,20,2016,0,1,1,0,62
20160620,6,20,2016,1,1,1,0,62
20160620,6,20,2016,2,1,1,0,62
20160620,6,20,2016,3,1,1,0,61
20160620,6,20,2016,4,1,1,0,61
20160620,6,20,2016,5,1,1,0,61
20160620,6,20,2016,6,1,1,1,61
20160620,6,20,2016,7,1,1,1,63
20160620,6,20,2016,8,1,1,1,67
20160620,6,20,2016,9,1,1,1,70
20160620,6,20,2016,10,1,1,1,73
20160620,6,20,2016,11,1,1,1,74
20160620,6,20,2016,12,1,1,1,76
20160620,6,20,2016,13,1,1,1,76
20160620,6,20,2016,14,1,1,1,77
20160620,6,20,2016,15,1,1,1,77
20160620,6,20,2016,16,1,1,1,76
20160620,6,20,2016,17,1,1,1,75
20160620,6,20,2016,18,1,1,1,75
20160620,6,20,2016,19,1,1,1,74
20160620,6,20,2016,20,1,1,0,73
20160620,6,20,2016,21,1,1,0,71
20160620,6,20,2016,22,1,1,0,71
20160620,6,20,2016,23,1,1,0,70
20160621,6,21,2016,0,2,1,0,69
20160621,6,21,2016,1,2,1,0,68
20160621,6,21,2016,2,2,1,0,68
20160621,6,21,2016,3,2,1,0,66
20160621,6,21,2016,4,2,1,0,66
20160621,6,21,2016,5,2,1,0,66
20160621,6,21,2016,6,2,1,1,67
20160621,6,21,2016,7,2,1,1,69
20160621,6,21,2016,8,2,1,1,72
20160621,6,21,2016,9,2,1,1,74
20160621,6,21,2016,10,2,1,1,77
20160621,6,21,2016,11,2,1,1,80
20160621,6,21,2016,12,2,1,1,82
20160621,6,21,2016,13,2,1,1,83
20160621,6,21,2016,14,2,1,1,83
20160621,6,21,2016,15,2,1,1,83
